items
"['B', 'C', 'I', 'L', 'M', 'N', 'P']"
"['B', 'D', 'E', 'I', 'M', 'P', 'Q']"
"['B', 'C', 'G', 'J', 'K', 'L', 'O']"
"['B', 'C', 'H', 'J', 'K', 'M', 'O']"
"['C', 'D', 'E', 'H', 'I', 'K', 'L']"
"['B', 'D', 'F', 'J', 'M', 'N', 'Q']"
"['A', 'D', 'I', 'J', 'N', 'O', 'Q']"
"['B', 'E', 'H', 'J', 'L', 'N', 'P']"
"['A', 'B', 'D', 'E', 'I', 'L', 'Q']"
"['B', 'H', 'I', 'J', 'K', 'L', 'N']"
"['C', 'D', 'E', 'G', 'I', 'N', 'O']"
"['D', 'F', 'G', 'I', 'N', 'P', 'Q']"
"['B', 'C', 'E', 'I', 'J', 'P', 'Q']"
"['B', 'D', 'H', 'I', 'K', 'M', 'N']"
"['C', 'F', 'G', 'I', 'M', 'O', 'P']"
"['B', 'C', 'E', 'G', 'H', 'J', 'L']"
"['B', 'H', 'L', 'M', 'O', 'P', 'Q']"
"['F', 'J', 'L', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'E', 'F', 'G', 'H', 'K']"
"['A', 'B', 'E', 'G', 'J', 'P', 'Q']"
"['A', 'C', 'H', 'I', 'K', 'M', 'P']"
"['B', 'J', 'K', 'M', 'N', 'O', 'P']"
"['A', 'C', 'F', 'K', 'L', 'P', 'Q']"
"['A', 'B', 'C', 'H', 'K', 'M', 'N']"
"['B', 'E', 'J', 'K', 'M', 'N', 'P']"
"['C', 'E', 'F', 'H', 'I', 'L', 'M']"
"['B', 'F', 'G', 'K', 'M', 'N', 'O']"
"['A', 'H', 'I', 'J', 'K', 'N', 'Q']"
"['A', 'C', 'F', 'G', 'I', 'J', 'O']"
"['B', 'C', 'D', 'E', 'F', 'G', 'L']"
"['D', 'G', 'I', 'J', 'M', 'N', 'Q']"
"['D', 'H', 'K', 'L', 'M', 'O', 'Q']"
"['C', 'D', 'F', 'G', 'H', 'I', 'M']"
"['E', 'F', 'G', 'H', 'L', 'P', 'Q']"
"['C', 'F', 'I', 'K', 'M', 'N', 'Q']"
"['B', 'I', 'K', 'M', 'O', 'P', 'Q']"
"['A', 'G', 'H', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'G', 'K', 'M', 'N', 'Q']"
"['C', 'D', 'F', 'I', 'K', 'L', 'M']"
"['A', 'D', 'F', 'H', 'K', 'O', 'P']"
"['C', 'H', 'I', 'J', 'K', 'O', 'Q']"
"['C', 'E', 'F', 'H', 'L', 'N', 'P']"
"['E', 'F', 'H', 'I', 'J', 'K', 'L']"
"['B', 'C', 'I', 'J', 'K', 'O', 'P']"
"['D', 'F', 'K', 'L', 'O', 'P', 'Q']"
"['B', 'F', 'G', 'H', 'J', 'L', 'M']"
"['B', 'E', 'G', 'K', 'N', 'O', 'P']"
"['B', 'E', 'F', 'H', 'I', 'J', 'L']"
"['F', 'G', 'H', 'I', 'K', 'M', 'O']"
"['D', 'F', 'G', 'H', 'I', 'K', 'L']"
"['A', 'E', 'F', 'H', 'I', 'N', 'P']"
"['A', 'D', 'E', 'M', 'O', 'P', 'Q']"
"['A', 'B', 'F', 'G', 'L', 'M', 'P']"
"['B', 'E', 'I', 'J', 'L', 'M', 'O']"
"['B', 'F', 'G', 'J', 'K', 'N', 'Q']"
"['A', 'C', 'F', 'K', 'O', 'P', 'Q']"
"['E', 'F', 'G', 'L', 'N', 'O', 'Q']"
"['E', 'G', 'H', 'J', 'M', 'O', 'P']"
"['A', 'C', 'D', 'E', 'G', 'H', 'L']"
"['C', 'G', 'H', 'L', 'M', 'N', 'O']"
"['B', 'D', 'H', 'K', 'M', 'O', 'Q']"
"['A', 'B', 'C', 'H', 'I', 'N', 'O']"
"['D', 'F', 'H', 'K', 'L', 'M', 'Q']"
"['C', 'F', 'H', 'I', 'K', 'N', 'P']"
"['C', 'D', 'H', 'J', 'N', 'P', 'Q']"
"['C', 'F', 'I', 'K', 'M', 'N', 'P']"
"['A', 'E', 'G', 'J', 'L', 'O', 'P']"
"['B', 'C', 'D', 'J', 'L', 'M', 'P']"
"['D', 'E', 'H', 'K', 'M', 'O', 'P']"
"['D', 'H', 'J', 'K', 'L', 'M', 'P']"
"['A', 'B', 'D', 'F', 'H', 'N', 'P']"
"['B', 'D', 'I', 'K', 'M', 'O', 'Q']"
"['A', 'B', 'E', 'J', 'L', 'N', 'P']"
"['A', 'J', 'K', 'L', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'K', 'M', 'N', 'O']"
"['C', 'D', 'E', 'G', 'H', 'M', 'N']"
"['A', 'B', 'G', 'I', 'J', 'K', 'P']"
"['B', 'C', 'D', 'G', 'I', 'J', 'L']"
"['E', 'F', 'I', 'J', 'L', 'O', 'P']"
"['A', 'B', 'D', 'G', 'H', 'J', 'P']"
"['A', 'B', 'D', 'E', 'F', 'K', 'L']"
"['B', 'D', 'H', 'I', 'K', 'L', 'N']"
"['A', 'B', 'E', 'F', 'G', 'I', 'P']"
"['A', 'F', 'J', 'K', 'N', 'O', 'P']"
"['E', 'F', 'H', 'J', 'K', 'P', 'Q']"
"['A', 'D', 'E', 'F', 'G', 'K', 'O']"
"['A', 'C', 'H', 'K', 'O', 'P', 'Q']"
"['A', 'E', 'I', 'K', 'L', 'M', 'O']"
"['C', 'E', 'I', 'J', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'H', 'M', 'N', 'O']"
"['B', 'E', 'F', 'J', 'N', 'O', 'P']"
"['D', 'F', 'H', 'J', 'L', 'N', 'P']"
"['D', 'E', 'F', 'J', 'K', 'L', 'N']"
"['C', 'F', 'H', 'I', 'L', 'N', 'O']"
"['D', 'J', 'K', 'L', 'N', 'O', 'P']"
"['C', 'J', 'K', 'L', 'M', 'N', 'Q']"
"['A', 'D', 'F', 'H', 'L', 'N', 'Q']"
"['B', 'C', 'F', 'G', 'J', 'N', 'Q']"
"['C', 'E', 'H', 'K', 'M', 'N', 'O']"
"['A', 'D', 'H', 'J', 'L', 'M', 'Q']"
"['B', 'C', 'G', 'J', 'K', 'M', 'O']"
"['B', 'C', 'E', 'F', 'I', 'N', 'P']"
"['A', 'F', 'H', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'E', 'M', 'O', 'Q']"
"['B', 'G', 'I', 'J', 'L', 'M', 'N']"
"['B', 'F', 'G', 'I', 'J', 'K', 'N']"
"['A', 'B', 'G', 'L', 'M', 'N', 'P']"
"['B', 'G', 'H', 'I', 'L', 'M', 'P']"
"['C', 'K', 'L', 'M', 'N', 'O', 'Q']"
"['A', 'F', 'J', 'K', 'N', 'P', 'Q']"
"['A', 'G', 'H', 'J', 'K', 'N', 'Q']"
"['B', 'C', 'D', 'F', 'I', 'N', 'O']"
"['A', 'B', 'D', 'G', 'L', 'M', 'Q']"
"['A', 'C', 'E', 'J', 'L', 'N', 'P']"
"['A', 'B', 'D', 'E', 'G', 'K', 'N']"
"['F', 'G', 'K', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'H', 'I', 'M', 'O', 'Q']"
"['B', 'G', 'H', 'J', 'K', 'O', 'Q']"
"['D', 'E', 'G', 'H', 'L', 'N', 'Q']"
"['C', 'H', 'I', 'L', 'N', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'K', 'N', 'Q']"
"['C', 'G', 'H', 'J', 'K', 'L', 'M']"
"['C', 'D', 'L', 'N', 'O', 'P', 'Q']"
"['A', 'G', 'H', 'I', 'J', 'N', 'P']"
"['A', 'F', 'H', 'K', 'L', 'N', 'Q']"
"['B', 'H', 'I', 'J', 'L', 'P', 'Q']"
"['B', 'C', 'E', 'F', 'I', 'J', 'K']"
"['A', 'C', 'F', 'J', 'L', 'O', 'P']"
"['A', 'B', 'E', 'G', 'K', 'M', 'Q']"
"['E', 'G', 'J', 'K', 'L', 'M', 'Q']"
"['C', 'E', 'G', 'I', 'L', 'N', 'P']"
"['C', 'E', 'H', 'J', 'K', 'M', 'O']"
"['A', 'B', 'C', 'D', 'J', 'L', 'N']"
"['C', 'F', 'H', 'I', 'M', 'O', 'P']"
"['A', 'D', 'E', 'G', 'H', 'K', 'M']"
"['A', 'F', 'G', 'H', 'J', 'K', 'P']"
"['A', 'B', 'E', 'F', 'K', 'L', 'Q']"
"['A', 'D', 'F', 'G', 'H', 'I', 'P']"
"['H', 'I', 'K', 'M', 'N', 'P', 'Q']"
"['C', 'F', 'G', 'I', 'K', 'L', 'N']"
"['A', 'C', 'G', 'I', 'L', 'N', 'O']"
"['A', 'B', 'F', 'H', 'L', 'M', 'O']"
"['A', 'B', 'E', 'I', 'K', 'N', 'O']"
"['C', 'D', 'E', 'F', 'K', 'M', 'Q']"
"['D', 'E', 'G', 'K', 'O', 'P', 'Q']"
"['B', 'D', 'G', 'J', 'K', 'M', 'Q']"
"['B', 'D', 'F', 'G', 'J', 'N', 'O']"
"['B', 'D', 'E', 'I', 'L', 'O', 'P']"
"['A', 'B', 'E', 'L', 'M', 'N', 'P']"
"['B', 'E', 'F', 'L', 'O', 'P', 'Q']"
"['A', 'F', 'H', 'K', 'M', 'P', 'Q']"
"['A', 'B', 'D', 'F', 'I', 'L', 'O']"
"['B', 'D', 'F', 'G', 'I', 'J', 'Q']"
"['A', 'B', 'C', 'G', 'I', 'N', 'O']"
"['A', 'C', 'E', 'G', 'K', 'P', 'Q']"
"['B', 'D', 'F', 'G', 'J', 'K', 'P']"
"['F', 'H', 'J', 'L', 'N', 'O', 'Q']"
"['B', 'D', 'I', 'J', 'K', 'L', 'Q']"
"['C', 'E', 'F', 'I', 'J', 'O', 'Q']"
"['B', 'C', 'E', 'H', 'I', 'K', 'M']"
"['B', 'E', 'I', 'L', 'N', 'O', 'Q']"
"['C', 'D', 'F', 'G', 'I', 'K', 'P']"
"['C', 'E', 'F', 'I', 'J', 'M', 'P']"
"['C', 'G', 'H', 'J', 'L', 'O', 'Q']"
"['B', 'F', 'H', 'K', 'M', 'P', 'Q']"
"['B', 'F', 'G', 'I', 'J', 'O', 'Q']"
"['C', 'D', 'E', 'F', 'K', 'N', 'O']"
"['A', 'E', 'H', 'I', 'J', 'L', 'P']"
"['A', 'F', 'H', 'L', 'N', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'G', 'M', 'O']"
"['A', 'C', 'E', 'J', 'N', 'O', 'P']"
"['A', 'D', 'G', 'K', 'L', 'M', 'N']"
"['A', 'B', 'F', 'H', 'L', 'N', 'O']"
"['D', 'E', 'G', 'I', 'N', 'O', 'P']"
"['C', 'F', 'G', 'J', 'K', 'L', 'Q']"
"['D', 'E', 'J', 'L', 'M', 'N', 'Q']"
"['B', 'D', 'G', 'I', 'L', 'M', 'Q']"
"['B', 'C', 'D', 'E', 'F', 'K', 'P']"
"['A', 'D', 'I', 'J', 'K', 'M', 'Q']"
"['C', 'E', 'G', 'H', 'I', 'J', 'O']"
"['G', 'H', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'G', 'H', 'K', 'O']"
"['B', 'C', 'D', 'F', 'G', 'M', 'P']"
"['C', 'G', 'H', 'I', 'L', 'M', 'Q']"
"['D', 'E', 'H', 'L', 'M', 'O', 'Q']"
"['F', 'H', 'I', 'K', 'L', 'M', 'N']"
"['E', 'H', 'K', 'M', 'N', 'O', 'P']"
"['B', 'C', 'D', 'F', 'G', 'K', 'L']"
"['C', 'G', 'J', 'M', 'N', 'O', 'P']"
"['B', 'H', 'I', 'L', 'M', 'P', 'Q']"
"['A', 'E', 'H', 'J', 'L', 'O', 'P']"
"['F', 'H', 'I', 'J', 'M', 'O', 'Q']"
"['B', 'D', 'H', 'K', 'M', 'N', 'Q']"
"['C', 'E', 'H', 'I', 'M', 'O', 'P']"
"['A', 'C', 'F', 'I', 'J', 'K', 'P']"
"['A', 'F', 'K', 'M', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'F', 'J', 'K', 'P']"
"['A', 'B', 'E', 'G', 'J', 'L', 'N']"
"['C', 'D', 'F', 'G', 'H', 'N', 'P']"
"['B', 'F', 'G', 'H', 'L', 'P', 'Q']"
"['A', 'D', 'H', 'J', 'K', 'N', 'Q']"
"['F', 'H', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'D', 'G', 'I', 'M', 'N', 'P']"
"['C', 'E', 'F', 'G', 'L', 'N', 'Q']"
"['A', 'C', 'E', 'G', 'J', 'L', 'P']"
"['B', 'C', 'D', 'F', 'N', 'O', 'P']"
"['F', 'G', 'H', 'I', 'L', 'M', 'Q']"
"['A', 'C', 'F', 'I', 'J', 'K', 'O']"
"['A', 'I', 'J', 'K', 'M', 'O', 'Q']"
"['C', 'G', 'H', 'I', 'J', 'K', 'Q']"
"['C', 'F', 'G', 'J', 'M', 'N', 'Q']"
"['D', 'I', 'L', 'M', 'N', 'O', 'Q']"
"['C', 'D', 'E', 'G', 'J', 'K', 'L']"
"['A', 'C', 'D', 'F', 'G', 'J', 'N']"
"['A', 'C', 'E', 'G', 'I', 'K', 'M']"
"['C', 'H', 'J', 'K', 'L', 'N', 'O']"
"['A', 'D', 'E', 'J', 'M', 'O', 'P']"
"['A', 'C', 'D', 'E', 'H', 'K', 'L']"
"['D', 'F', 'G', 'H', 'L', 'M', 'N']"
"['B', 'E', 'G', 'I', 'J', 'K', 'N']"
"['A', 'B', 'C', 'F', 'G', 'N', 'P']"
"['A', 'D', 'E', 'H', 'K', 'N', 'Q']"
"['B', 'C', 'D', 'F', 'I', 'K', 'O']"
"['B', 'C', 'D', 'F', 'J', 'M', 'N']"
"['A', 'D', 'E', 'F', 'I', 'N', 'Q']"
"['I', 'J', 'K', 'M', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'G', 'I', 'K', 'O']"
"['C', 'F', 'G', 'I', 'L', 'M', 'N']"
"['A', 'J', 'K', 'L', 'M', 'O', 'Q']"
"['D', 'H', 'I', 'K', 'N', 'O', 'P']"
"['A', 'B', 'E', 'F', 'H', 'K', 'M']"
"['B', 'D', 'G', 'H', 'J', 'O', 'Q']"
"['A', 'G', 'J', 'L', 'M', 'N', 'P']"
"['C', 'D', 'G', 'H', 'J', 'K', 'P']"
"['B', 'F', 'G', 'I', 'J', 'N', 'Q']"
"['A', 'C', 'H', 'I', 'M', 'N', 'O']"
"['A', 'D', 'F', 'G', 'K', 'M', 'Q']"
"['A', 'B', 'C', 'F', 'G', 'I', 'K']"
"['B', 'F', 'I', 'J', 'K', 'L', 'P']"
"['B', 'C', 'J', 'M', 'O', 'P', 'Q']"
"['A', 'F', 'I', 'J', 'K', 'O', 'P']"
"['B', 'D', 'H', 'J', 'L', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'L', 'P', 'Q']"
"['B', 'E', 'G', 'I', 'J', 'L', 'Q']"
"['C', 'D', 'E', 'H', 'J', 'N', 'P']"
"['A', 'B', 'G', 'I', 'K', 'O', 'P']"
"['B', 'C', 'E', 'G', 'K', 'N', 'Q']"
"['D', 'F', 'G', 'J', 'K', 'O', 'Q']"
"['C', 'E', 'G', 'J', 'K', 'M', 'Q']"
"['B', 'C', 'E', 'F', 'I', 'K', 'N']"
"['A', 'B', 'D', 'E', 'L', 'N', 'Q']"
"['B', 'D', 'I', 'J', 'N', 'P', 'Q']"
"['A', 'E', 'F', 'H', 'J', 'N', 'Q']"
"['B', 'D', 'F', 'G', 'J', 'N', 'P']"
"['C', 'E', 'F', 'G', 'J', 'P', 'Q']"
"['C', 'F', 'I', 'K', 'L', 'O', 'P']"
"['B', 'G', 'K', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'G', 'I', 'L', 'O', 'P']"
"['C', 'F', 'G', 'H', 'K', 'M', 'P']"
"['A', 'D', 'E', 'I', 'J', 'K', 'Q']"
"['A', 'C', 'F', 'H', 'J', 'N', 'O']"
"['E', 'I', 'J', 'K', 'M', 'O', 'Q']"
"['B', 'D', 'E', 'F', 'I', 'L', 'Q']"
"['B', 'D', 'E', 'G', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'G', 'M', 'N', 'Q']"
"['B', 'C', 'G', 'H', 'J', 'O', 'P']"
"['A', 'C', 'G', 'H', 'K', 'L', 'O']"
"['A', 'I', 'J', 'K', 'L', 'N', 'P']"
"['A', 'B', 'C', 'E', 'G', 'N', 'O']"
"['A', 'B', 'D', 'F', 'I', 'L', 'P']"
"['B', 'E', 'J', 'K', 'L', 'P', 'Q']"
"['B', 'H', 'I', 'J', 'L', 'N', 'Q']"
"['C', 'E', 'G', 'H', 'L', 'N', 'P']"
"['C', 'D', 'I', 'J', 'O', 'P', 'Q']"
"['A', 'F', 'G', 'K', 'L', 'M', 'O']"
"['C', 'E', 'G', 'H', 'J', 'K', 'L']"
"['B', 'G', 'H', 'I', 'M', 'P', 'Q']"
"['C', 'D', 'E', 'J', 'L', 'N', 'P']"
"['C', 'G', 'H', 'J', 'M', 'N', 'O']"
"['C', 'E', 'F', 'H', 'M', 'O', 'P']"
"['C', 'F', 'H', 'I', 'K', 'L', 'Q']"
"['E', 'F', 'I', 'K', 'M', 'O', 'P']"
"['B', 'F', 'H', 'I', 'K', 'L', 'O']"
"['A', 'B', 'F', 'H', 'I', 'J', 'N']"
"['C', 'E', 'F', 'J', 'L', 'P', 'Q']"
"['B', 'C', 'F', 'N', 'O', 'P', 'Q']"
"['C', 'D', 'G', 'I', 'J', 'L', 'Q']"
"['H', 'I', 'J', 'K', 'L', 'P', 'Q']"
"['A', 'B', 'E', 'I', 'J', 'M', 'N']"
"['G', 'H', 'I', 'K', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'F', 'G', 'K', 'N']"
"['B', 'J', 'K', 'L', 'N', 'O', 'P']"
"['A', 'C', 'E', 'F', 'G', 'H', 'I']"
"['A', 'D', 'F', 'L', 'O', 'P', 'Q']"
"['B', 'C', 'E', 'G', 'M', 'N', 'Q']"
"['E', 'F', 'G', 'J', 'K', 'N', 'P']"
"['F', 'H', 'I', 'J', 'N', 'O', 'P']"
"['F', 'G', 'I', 'K', 'L', 'M', 'N']"
"['A', 'B', 'I', 'M', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'I', 'K', 'N', 'O']"
"['A', 'D', 'E', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'E', 'K', 'L', 'M', 'N']"
"['B', 'G', 'H', 'I', 'K', 'N', 'O']"
"['B', 'G', 'J', 'K', 'L', 'N', 'O']"
"['A', 'B', 'G', 'I', 'J', 'L', 'P']"
"['A', 'C', 'D', 'F', 'G', 'I', 'L']"
"['D', 'E', 'H', 'L', 'M', 'O', 'P']"
"['A', 'C', 'K', 'L', 'M', 'N', 'Q']"
"['A', 'D', 'G', 'H', 'I', 'L', 'M']"
"['C', 'D', 'H', 'I', 'J', 'L', 'N']"
"['B', 'C', 'D', 'F', 'H', 'M', 'N']"
"['A', 'B', 'H', 'J', 'K', 'N', 'Q']"
"['C', 'E', 'F', 'H', 'I', 'M', 'N']"
"['A', 'C', 'G', 'L', 'M', 'N', 'Q']"
"['B', 'D', 'E', 'G', 'H', 'J', 'O']"
"['A', 'D', 'G', 'H', 'I', 'J', 'O']"
"['C', 'E', 'I', 'K', 'L', 'N', 'P']"
"['B', 'E', 'H', 'K', 'M', 'O', 'Q']"
"['C', 'E', 'F', 'G', 'I', 'M', 'Q']"
"['A', 'D', 'K', 'L', 'M', 'O', 'P']"
"['A', 'B', 'C', 'F', 'G', 'L', 'Q']"
"['F', 'I', 'J', 'M', 'O', 'P', 'Q']"
"['A', 'E', 'G', 'H', 'N', 'P', 'Q']"
"['A', 'B', 'C', 'E', 'K', 'N', 'P']"
"['E', 'G', 'H', 'J', 'M', 'N', 'P']"
"['B', 'D', 'F', 'I', 'M', 'N', 'Q']"
"['E', 'F', 'I', 'K', 'N', 'P', 'Q']"
"['F', 'G', 'H', 'L', 'M', 'N', 'Q']"
"['B', 'D', 'G', 'H', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'F', 'J', 'K', 'Q']"
"['A', 'B', 'J', 'L', 'M', 'P', 'Q']"
"['B', 'C', 'F', 'G', 'J', 'K', 'N']"
"['A', 'C', 'D', 'E', 'G', 'K', 'M']"
"['A', 'B', 'D', 'F', 'J', 'N', 'P']"
"['A', 'C', 'D', 'I', 'J', 'K', 'O']"
"['B', 'F', 'I', 'K', 'L', 'N', 'O']"
"['B', 'G', 'H', 'I', 'L', 'O', 'P']"
"['D', 'E', 'F', 'G', 'H', 'K', 'M']"
"['A', 'B', 'D', 'H', 'J', 'M', 'N']"
"['B', 'C', 'F', 'I', 'N', 'P', 'Q']"
"['B', 'C', 'H', 'K', 'L', 'O', 'P']"
"['B', 'E', 'F', 'G', 'J', 'K', 'M']"
"['C', 'D', 'F', 'G', 'I', 'K', 'Q']"
"['B', 'E', 'G', 'I', 'J', 'O', 'Q']"
"['A', 'C', 'E', 'G', 'H', 'J', 'O']"
"['B', 'E', 'G', 'H', 'I', 'N', 'O']"
"['A', 'C', 'E', 'G', 'I', 'N', 'O']"
"['B', 'C', 'I', 'J', 'L', 'O', 'P']"
"['E', 'F', 'H', 'K', 'L', 'N', 'P']"
"['C', 'D', 'F', 'I', 'L', 'N', 'O']"
"['B', 'G', 'I', 'L', 'N', 'P', 'Q']"
"['B', 'D', 'E', 'F', 'I', 'N', 'P']"
"['A', 'C', 'F', 'G', 'L', 'N', 'Q']"
"['A', 'C', 'D', 'F', 'G', 'L', 'Q']"
"['B', 'D', 'G', 'K', 'L', 'O', 'P']"
"['C', 'F', 'I', 'J', 'K', 'P', 'Q']"
"['D', 'H', 'I', 'K', 'M', 'N', 'Q']"
