items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['B', 'C', 'G', 'I', 'J', 'Q']"
"['E', 'F', 'I', 'K', 'N', 'O']"
"['C', 'H', 'I', 'J', 'K', 'Q']"
"['E', 'F', 'H', 'I', 'K', 'P']"
"['E', 'H', 'I', 'L', 'M', 'N']"
"['C', 'D', 'M', 'N', 'P', 'Q']"
"['D', 'H', 'K', 'N', 'O', 'P']"
"['A', 'B', 'C', 'F', 'M', 'P']"
"['E', 'F', 'I', 'K', 'L', 'M']"
"['B', 'G', 'I', 'M', 'O', 'Q']"
"['A', 'D', 'K', 'L', 'O', 'Q']"
"['B', 'F', 'M', 'N', 'P', 'Q']"
"['B', 'C', 'E', 'G', 'J', 'O']"
"['A', 'B', 'C', 'F', 'L', 'O']"
"['A', 'B', 'D', 'F', 'L', 'P']"
"['A', 'F', 'I', 'J', 'M', 'N']"
"['A', 'B', 'C', 'H', 'K', 'O']"
"['C', 'E', 'F', 'L', 'O', 'Q']"
"['D', 'J', 'K', 'L', 'N', 'P']"
"['D', 'E', 'H', 'K', 'L', 'N']"
"['A', 'C', 'E', 'J', 'M', 'P']"
"['A', 'D', 'F', 'G', 'I', 'Q']"
"['H', 'I', 'J', 'M', 'N', 'Q']"
"['B', 'C', 'F', 'G', 'P', 'Q']"
"['C', 'G', 'I', 'L', 'M', 'P']"
"['E', 'F', 'G', 'K', 'L', 'Q']"
"['A', 'E', 'H', 'K', 'N', 'P']"
"['A', 'C', 'G', 'J', 'L', 'P']"
"['A', 'E', 'F', 'G', 'L', 'Q']"
"['C', 'D', 'F', 'M', 'O', 'Q']"
"['B', 'D', 'J', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'H', 'J', 'Q']"
"['A', 'B', 'C', 'J', 'O', 'P']"
"['C', 'D', 'E', 'G', 'I', 'O']"
"['A', 'B', 'G', 'H', 'J', 'K']"
"['B', 'E', 'J', 'L', 'M', 'N']"
"['D', 'G', 'H', 'J', 'L', 'O']"
"['A', 'E', 'F', 'G', 'L', 'M']"
"['E', 'I', 'M', 'N', 'O', 'P']"
"['A', 'I', 'J', 'L', 'O', 'P']"
"['D', 'G', 'H', 'K', 'O', 'P']"
"['A', 'D', 'G', 'H', 'I', 'L']"
"['B', 'D', 'E', 'G', 'K', 'P']"
"['C', 'F', 'J', 'L', 'O', 'Q']"
"['A', 'B', 'F', 'G', 'H', 'N']"
"['E', 'H', 'I', 'N', 'P', 'Q']"
"['A', 'C', 'D', 'H', 'J', 'P']"
"['F', 'H', 'J', 'L', 'P', 'Q']"
"['D', 'E', 'I', 'K', 'N', 'O']"
"['A', 'B', 'F', 'H', 'J', 'N']"
"['C', 'D', 'H', 'I', 'K', 'Q']"
"['A', 'E', 'F', 'G', 'N', 'Q']"
"['A', 'C', 'G', 'L', 'N', 'O']"
"['A', 'B', 'E', 'H', 'M', 'P']"
"['B', 'H', 'L', 'O', 'P', 'Q']"
"['C', 'E', 'G', 'I', 'J', 'K']"
"['B', 'F', 'H', 'K', 'N', 'Q']"
"['B', 'D', 'K', 'O', 'P', 'Q']"
"['F', 'G', 'K', 'N', 'O', 'Q']"
"['B', 'D', 'F', 'K', 'P', 'Q']"
"['B', 'E', 'F', 'K', 'L', 'M']"
"['A', 'C', 'D', 'E', 'G', 'O']"
"['A', 'B', 'D', 'I', 'L', 'P']"
"['A', 'C', 'D', 'J', 'L', 'P']"
"['E', 'F', 'J', 'L', 'P', 'Q']"
"['A', 'B', 'L', 'N', 'O', 'Q']"
"['B', 'C', 'H', 'I', 'K', 'N']"
"['C', 'E', 'G', 'I', 'K', 'N']"
"['D', 'H', 'K', 'L', 'M', 'O']"
"['A', 'J', 'K', 'M', 'O', 'P']"
"['D', 'G', 'H', 'J', 'O', 'Q']"
"['D', 'G', 'H', 'J', 'P', 'Q']"
"['B', 'F', 'G', 'L', 'P', 'Q']"
"['B', 'E', 'I', 'J', 'K', 'N']"
"['A', 'B', 'D', 'J', 'K', 'M']"
"['A', 'D', 'J', 'L', 'M', 'N']"
"['B', 'F', 'G', 'M', 'P', 'Q']"
"['B', 'C', 'L', 'M', 'N', 'P']"
"['A', 'B', 'F', 'I', 'J', 'M']"
"['C', 'E', 'F', 'K', 'N', 'Q']"
"['A', 'D', 'K', 'M', 'O', 'Q']"
"['A', 'C', 'F', 'G', 'H', 'O']"
"['H', 'I', 'K', 'M', 'N', 'P']"
"['D', 'G', 'K', 'L', 'P', 'Q']"
"['A', 'D', 'G', 'I', 'N', 'P']"
"['B', 'C', 'G', 'I', 'O', 'P']"
"['A', 'C', 'D', 'F', 'H', 'Q']"
"['A', 'C', 'D', 'F', 'H', 'I']"
"['C', 'E', 'I', 'L', 'O', 'Q']"
"['A', 'I', 'L', 'M', 'O', 'P']"
"['E', 'J', 'K', 'M', 'O', 'P']"
"['B', 'K', 'L', 'O', 'P', 'Q']"
"['B', 'E', 'G', 'N', 'O', 'Q']"
"['B', 'D', 'G', 'I', 'P', 'Q']"
"['A', 'D', 'J', 'M', 'N', 'P']"
"['A', 'D', 'I', 'L', 'O', 'P']"
"['F', 'G', 'H', 'I', 'L', 'P']"
"['B', 'G', 'H', 'I', 'J', 'Q']"
"['B', 'E', 'F', 'H', 'I', 'M']"
"['D', 'J', 'N', 'O', 'P', 'Q']"
"['B', 'H', 'J', 'K', 'M', 'O']"
"['B', 'C', 'E', 'H', 'L', 'P']"
"['A', 'G', 'H', 'J', 'K', 'Q']"
"['C', 'E', 'F', 'K', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'J', 'L']"
"['C', 'E', 'J', 'L', 'M', 'P']"
"['C', 'D', 'F', 'K', 'L', 'Q']"
"['C', 'E', 'F', 'J', 'M', 'P']"
"['B', 'C', 'G', 'M', 'O', 'P']"
"['B', 'C', 'G', 'K', 'M', 'O']"
"['B', 'K', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'G', 'N', 'O']"
"['A', 'C', 'G', 'H', 'O', 'P']"
"['A', 'K', 'L', 'N', 'O', 'P']"
"['B', 'H', 'I', 'L', 'M', 'N']"
"['A', 'H', 'J', 'L', 'N', 'Q']"
"['A', 'B', 'C', 'I', 'K', 'L']"
"['C', 'E', 'I', 'K', 'N', 'P']"
"['B', 'D', 'K', 'L', 'N', 'P']"
"['C', 'E', 'G', 'H', 'I', 'O']"
"['A', 'C', 'D', 'I', 'L', 'O']"
"['B', 'G', 'H', 'J', 'N', 'P']"
"['A', 'D', 'I', 'M', 'O', 'Q']"
"['B', 'D', 'F', 'N', 'P', 'Q']"
"['B', 'H', 'I', 'K', 'M', 'N']"
"['A', 'D', 'H', 'K', 'N', 'Q']"
"['B', 'C', 'E', 'G', 'J', 'N']"
"['H', 'K', 'L', 'M', 'O', 'Q']"
"['B', 'D', 'H', 'I', 'J', 'O']"
"['A', 'B', 'D', 'J', 'N', 'P']"
"['G', 'H', 'J', 'L', 'M', 'Q']"
"['D', 'G', 'K', 'L', 'O', 'Q']"
"['B', 'C', 'J', 'L', 'N', 'Q']"
"['B', 'H', 'I', 'J', 'K', 'Q']"
"['H', 'J', 'K', 'M', 'O', 'Q']"
"['C', 'D', 'E', 'F', 'H', 'I']"
"['D', 'J', 'K', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'E', 'I', 'Q']"
"['D', 'E', 'G', 'J', 'M', 'N']"
"['A', 'C', 'D', 'F', 'H', 'L']"
"['A', 'C', 'H', 'J', 'L', 'N']"
"['B', 'C', 'F', 'H', 'L', 'N']"
"['A', 'F', 'G', 'J', 'L', 'O']"
"['A', 'E', 'H', 'J', 'M', 'O']"
"['A', 'C', 'H', 'I', 'J', 'L']"
"['A', 'B', 'C', 'G', 'J', 'P']"
"['D', 'E', 'H', 'L', 'O', 'P']"
"['C', 'D', 'E', 'G', 'I', 'N']"
"['E', 'F', 'H', 'L', 'O', 'P']"
"['D', 'I', 'J', 'O', 'P', 'Q']"
"['A', 'B', 'J', 'K', 'M', 'P']"
"['B', 'F', 'H', 'I', 'O', 'Q']"
"['C', 'E', 'F', 'G', 'I', 'O']"
"['B', 'H', 'I', 'K', 'M', 'Q']"
"['A', 'B', 'D', 'E', 'G', 'J']"
"['E', 'G', 'H', 'L', 'M', 'N']"
"['B', 'F', 'G', 'L', 'M', 'O']"
"['G', 'I', 'J', 'K', 'O', 'P']"
"['D', 'E', 'G', 'H', 'N', 'P']"
"['C', 'D', 'F', 'G', 'H', 'K']"
"['B', 'D', 'E', 'F', 'G', 'Q']"
"['E', 'G', 'J', 'L', 'O', 'Q']"
"['A', 'F', 'G', 'I', 'O', 'P']"
"['C', 'E', 'H', 'I', 'J', 'K']"
"['B', 'C', 'D', 'E', 'M', 'Q']"
"['E', 'H', 'J', 'L', 'M', 'N']"
"['B', 'D', 'G', 'M', 'N', 'O']"
"['E', 'G', 'J', 'L', 'M', 'O']"
"['D', 'G', 'I', 'J', 'K', 'P']"
"['A', 'E', 'F', 'J', 'K', 'L']"
"['D', 'E', 'G', 'L', 'O', 'Q']"
"['A', 'C', 'G', 'H', 'K', 'Q']"
"['A', 'B', 'D', 'E', 'I', 'K']"
"['A', 'C', 'G', 'K', 'M', 'Q']"
"['C', 'E', 'H', 'J', 'M', 'O']"
"['B', 'G', 'H', 'M', 'N', 'O']"
"['C', 'G', 'H', 'I', 'K', 'N']"
"['D', 'E', 'H', 'J', 'L', 'Q']"
"['C', 'D', 'I', 'J', 'N', 'O']"
"['B', 'C', 'F', 'H', 'M', 'N']"
"['C', 'D', 'E', 'M', 'P', 'Q']"
"['A', 'D', 'G', 'H', 'M', 'P']"
"['D', 'E', 'F', 'M', 'N', 'O']"
"['A', 'G', 'I', 'K', 'L', 'Q']"
"['E', 'G', 'I', 'M', 'O', 'Q']"
"['B', 'H', 'I', 'L', 'M', 'Q']"
"['C', 'E', 'H', 'L', 'N', 'Q']"
"['A', 'B', 'E', 'J', 'M', 'P']"
"['A', 'C', 'D', 'I', 'K', 'M']"
"['C', 'D', 'I', 'J', 'L', 'Q']"
"['B', 'G', 'I', 'J', 'P', 'Q']"
"['A', 'B', 'C', 'I', 'M', 'O']"
"['A', 'D', 'F', 'J', 'K', 'N']"
"['B', 'H', 'I', 'L', 'M', 'O']"
"['B', 'D', 'K', 'N', 'O', 'Q']"
"['A', 'G', 'K', 'L', 'N', 'O']"
"['A', 'B', 'G', 'K', 'N', 'O']"
"['A', 'C', 'G', 'I', 'O', 'Q']"
"['D', 'E', 'G', 'I', 'K', 'P']"
"['D', 'F', 'G', 'I', 'K', 'N']"
"['B', 'D', 'F', 'G', 'O', 'Q']"
"['A', 'G', 'H', 'I', 'K', 'O']"
"['A', 'B', 'D', 'H', 'L', 'P']"
"['A', 'C', 'G', 'K', 'L', 'O']"
"['A', 'B', 'C', 'E', 'F', 'O']"
"['B', 'I', 'J', 'K', 'N', 'O']"
"['D', 'H', 'L', 'M', 'N', 'P']"
"['D', 'G', 'H', 'K', 'O', 'Q']"
"['A', 'B', 'E', 'J', 'K', 'P']"
"['A', 'F', 'I', 'J', 'O', 'P']"
"['C', 'F', 'J', 'L', 'M', 'O']"
"['A', 'C', 'F', 'I', 'K', 'M']"
"['B', 'I', 'K', 'M', 'N', 'Q']"
"['C', 'F', 'I', 'J', 'M', 'P']"
"['F', 'I', 'J', 'M', 'N', 'P']"
"['F', 'G', 'I', 'K', 'L', 'P']"
"['C', 'G', 'J', 'K', 'L', 'O']"
"['D', 'E', 'J', 'L', 'N', 'O']"
"['E', 'F', 'L', 'M', 'N', 'O']"
"['A', 'B', 'F', 'H', 'J', 'Q']"
"['B', 'D', 'E', 'G', 'I', 'Q']"
"['C', 'E', 'H', 'J', 'L', 'N']"
"['B', 'D', 'E', 'G', 'O', 'Q']"
"['C', 'D', 'H', 'M', 'O', 'P']"
"['E', 'F', 'H', 'L', 'N', 'O']"
"['A', 'B', 'F', 'L', 'N', 'Q']"
"['D', 'G', 'I', 'K', 'P', 'Q']"
"['A', 'B', 'F', 'G', 'N', 'O']"
"['A', 'C', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'H', 'K', 'Q']"
"['D', 'G', 'H', 'I', 'L', 'P']"
"['A', 'D', 'E', 'G', 'H', 'O']"
"['C', 'E', 'F', 'G', 'H', 'K']"
"['B', 'D', 'H', 'I', 'J', 'L']"
"['A', 'D', 'F', 'I', 'J', 'Q']"
"['H', 'I', 'K', 'L', 'N', 'O']"
"['A', 'B', 'C', 'D', 'E', 'M']"
"['D', 'E', 'G', 'M', 'O', 'P']"
"['B', 'D', 'E', 'I', 'M', 'N']"
"['B', 'I', 'J', 'K', 'O', 'P']"
"['G', 'I', 'K', 'L', 'N', 'P']"
"['A', 'C', 'H', 'I', 'N', 'P']"
"['A', 'C', 'H', 'I', 'O', 'Q']"
"['E', 'H', 'K', 'N', 'P', 'Q']"
"['A', 'D', 'H', 'N', 'O', 'P']"
"['B', 'D', 'H', 'I', 'O', 'Q']"
"['E', 'F', 'G', 'H', 'K', 'Q']"
"['B', 'D', 'G', 'J', 'M', 'P']"
"['D', 'H', 'I', 'M', 'N', 'O']"
"['A', 'C', 'D', 'M', 'N', 'O']"
"['A', 'E', 'H', 'K', 'P', 'Q']"
"['B', 'G', 'L', 'M', 'N', 'O']"
"['C', 'E', 'G', 'K', 'L', 'O']"
"['A', 'B', 'C', 'F', 'N', 'O']"
"['C', 'D', 'E', 'I', 'J', 'Q']"
"['B', 'D', 'G', 'I', 'L', 'O']"
"['E', 'F', 'I', 'N', 'O', 'P']"
"['A', 'B', 'C', 'H', 'I', 'M']"
"['A', 'C', 'F', 'J', 'M', 'P']"
"['C', 'D', 'F', 'H', 'K', 'N']"
"['F', 'I', 'K', 'L', 'M', 'Q']"
"['B', 'C', 'G', 'L', 'M', 'N']"
"['D', 'F', 'G', 'J', 'O', 'P']"
"['D', 'F', 'J', 'K', 'L', 'O']"
"['C', 'D', 'J', 'M', 'N', 'O']"
"['C', 'J', 'K', 'M', 'N', 'P']"
"['A', 'C', 'D', 'F', 'I', 'O']"
"['C', 'E', 'G', 'J', 'P', 'Q']"
"['A', 'C', 'D', 'J', 'L', 'N']"
"['C', 'D', 'G', 'L', 'N', 'O']"
"['B', 'D', 'H', 'I', 'L', 'Q']"
"['G', 'J', 'K', 'N', 'P', 'Q']"
"['B', 'C', 'J', 'M', 'N', 'P']"
"['B', 'C', 'D', 'E', 'O', 'Q']"
"['A', 'C', 'F', 'H', 'K', 'N']"
"['C', 'D', 'G', 'J', 'N', 'O']"
"['B', 'D', 'J', 'N', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'L', 'Q']"
"['D', 'H', 'I', 'J', 'N', 'Q']"
"['A', 'C', 'D', 'I', 'M', 'O']"
"['A', 'H', 'K', 'N', 'O', 'Q']"
"['B', 'J', 'L', 'M', 'P', 'Q']"
"['A', 'B', 'H', 'J', 'K', 'M']"
"['C', 'D', 'I', 'J', 'N', 'Q']"
"['A', 'F', 'G', 'M', 'P', 'Q']"
"['C', 'F', 'I', 'L', 'M', 'P']"
"['B', 'C', 'E', 'K', 'M', 'O']"
"['B', 'D', 'F', 'G', 'H', 'K']"
"['C', 'E', 'F', 'G', 'H', 'Q']"
"['C', 'E', 'J', 'L', 'M', 'Q']"
"['F', 'G', 'I', 'K', 'N', 'Q']"
"['G', 'I', 'K', 'L', 'M', 'O']"
"['A', 'F', 'I', 'J', 'M', 'P']"
"['C', 'G', 'I', 'L', 'M', 'O']"
"['A', 'E', 'F', 'G', 'I', 'K']"
"['C', 'F', 'I', 'J', 'L', 'O']"
"['E', 'H', 'I', 'L', 'O', 'Q']"
"['E', 'F', 'I', 'K', 'L', 'Q']"
"['D', 'E', 'G', 'J', 'L', 'O']"
"['C', 'D', 'I', 'K', 'M', 'P']"
"['D', 'E', 'G', 'I', 'J', 'M']"
"['A', 'E', 'F', 'G', 'J', 'O']"
"['A', 'I', 'J', 'K', 'L', 'P']"
"['E', 'F', 'G', 'I', 'M', 'O']"
"['A', 'E', 'I', 'L', 'M', 'Q']"
"['A', 'D', 'F', 'J', 'K', 'O']"
"['C', 'D', 'F', 'K', 'O', 'Q']"
"['A', 'C', 'D', 'G', 'J', 'P']"
"['C', 'D', 'J', 'L', 'M', 'P']"
"['A', 'B', 'C', 'K', 'L', 'P']"
"['A', 'B', 'C', 'L', 'M', 'Q']"
"['A', 'D', 'F', 'G', 'L', 'P']"
"['A', 'C', 'G', 'L', 'O', 'P']"
"['B', 'G', 'J', 'K', 'M', 'O']"
"['B', 'C', 'D', 'E', 'G', 'Q']"
"['D', 'H', 'J', 'M', 'N', 'P']"
"['A', 'B', 'D', 'H', 'J', 'O']"
"['B', 'E', 'G', 'J', 'L', 'N']"
"['A', 'B', 'F', 'H', 'I', 'L']"
"['A', 'D', 'E', 'G', 'N', 'P']"
"['C', 'D', 'E', 'I', 'L', 'M']"
"['A', 'B', 'G', 'I', 'N', 'P']"
"['A', 'E', 'F', 'H', 'L', 'O']"
"['D', 'E', 'J', 'L', 'N', 'P']"
"['A', 'B', 'E', 'G', 'N', 'Q']"
"['B', 'C', 'D', 'F', 'H', 'J']"
"['A', 'E', 'F', 'I', 'J', 'K']"
"['B', 'G', 'I', 'K', 'L', 'P']"
"['A', 'C', 'D', 'G', 'J', 'Q']"
"['B', 'J', 'K', 'L', 'O', 'Q']"
"['C', 'D', 'H', 'I', 'J', 'M']"
"['D', 'E', 'H', 'K', 'L', 'Q']"
"['B', 'E', 'F', 'G', 'J', 'K']"
"['F', 'G', 'I', 'J', 'P', 'Q']"
"['C', 'G', 'J', 'L', 'N', 'Q']"
"['A', 'C', 'I', 'J', 'L', 'N']"
"['B', 'E', 'H', 'J', 'K', 'N']"
"['A', 'B', 'D', 'F', 'N', 'P']"
"['D', 'G', 'I', 'K', 'N', 'O']"
"['D', 'E', 'J', 'K', 'L', 'M']"
"['C', 'F', 'I', 'J', 'N', 'Q']"
"['C', 'F', 'H', 'K', 'P', 'Q']"
"['C', 'D', 'G', 'H', 'M', 'N']"
"['B', 'C', 'F', 'G', 'M', 'Q']"
"['C', 'D', 'E', 'I', 'L', 'O']"
"['A', 'H', 'J', 'L', 'M', 'P']"
"['B', 'E', 'H', 'K', 'N', 'P']"
"['B', 'E', 'F', 'H', 'O', 'P']"
"['A', 'E', 'J', 'N', 'P', 'Q']"
"['C', 'D', 'F', 'N', 'O', 'P']"
"['C', 'E', 'G', 'H', 'J', 'N']"
"['B', 'C', 'F', 'I', 'K', 'M']"
"['A', 'C', 'E', 'J', 'K', 'P']"
"['D', 'E', 'F', 'G', 'H', 'L']"
"['A', 'B', 'I', 'J', 'K', 'L']"
"['A', 'E', 'J', 'M', 'N', 'O']"
"['A', 'B', 'H', 'K', 'L', 'Q']"
"['A', 'F', 'J', 'L', 'P', 'Q']"
"['A', 'F', 'G', 'I', 'M', 'Q']"
"['D', 'E', 'I', 'J', 'M', 'Q']"
"['C', 'H', 'I', 'J', 'N', 'Q']"
"['A', 'E', 'H', 'K', 'M', 'N']"
"['A', 'E', 'H', 'L', 'N', 'P']"
"['A', 'B', 'H', 'K', 'M', 'P']"
"['F', 'G', 'I', 'M', 'O', 'P']"
"['A', 'C', 'E', 'G', 'H', 'Q']"
"['B', 'C', 'F', 'M', 'N', 'Q']"
"['E', 'L', 'M', 'N', 'P', 'Q']"
"['B', 'G', 'I', 'J', 'L', 'Q']"
"['C', 'F', 'I', 'O', 'P', 'Q']"
"['A', 'D', 'F', 'G', 'H', 'Q']"
"['C', 'F', 'H', 'J', 'M', 'P']"
"['D', 'E', 'I', 'K', 'L', 'N']"
"['F', 'I', 'J', 'L', 'M', 'N']"
"['A', 'B', 'E', 'G', 'O', 'Q']"
"['D', 'E', 'L', 'M', 'O', 'Q']"
"['B', 'D', 'G', 'M', 'P', 'Q']"
"['B', 'D', 'H', 'J', 'K', 'L']"
"['C', 'E', 'H', 'K', 'L', 'N']"
"['E', 'F', 'I', 'M', 'N', 'Q']"
"['A', 'D', 'F', 'G', 'H', 'M']"
"['C', 'G', 'K', 'L', 'N', 'O']"
"['B', 'F', 'G', 'M', 'N', 'P']"
