items
"['B', 'L', 'P', 'Q']"
"['A', 'B', 'J', 'K']"
"['D', 'H', 'M', 'Q']"
"['A', 'C', 'F', 'H']"
"['E', 'F', 'H', 'I']"
"['E', 'G', 'L', 'Q']"
"['A', 'E', 'F', 'I']"
"['F', 'I', 'K', 'O']"
"['F', 'G', 'H', 'I']"
"['E', 'F', 'I', 'J']"
"['A', 'H', 'J', 'L']"
"['A', 'B', 'F', 'J']"
"['A', 'B', 'G', 'L']"
"['E', 'J', 'K', 'Q']"
"['B', 'E', 'G', 'O']"
"['G', 'L', 'N', 'P']"
"['C', 'E', 'I', 'K']"
"['B', 'C', 'E', 'N']"
"['B', 'C', 'O', 'Q']"
"['E', 'H', 'L', 'Q']"
"['B', 'H', 'M', 'Q']"
"['B', 'H', 'I', 'Q']"
"['C', 'E', 'J', 'Q']"
"['E', 'G', 'K', 'Q']"
"['A', 'C', 'D', 'I']"
"['C', 'G', 'L', 'M']"
"['G', 'J', 'N', 'O']"
"['A', 'C', 'G', 'J']"
"['C', 'D', 'J', 'K']"
"['F', 'G', 'J', 'K']"
"['C', 'D', 'I', 'P']"
"['B', 'D', 'F', 'I']"
"['B', 'C', 'E', 'J']"
"['H', 'L', 'M', 'N']"
"['A', 'D', 'K', 'L']"
"['E', 'H', 'I', 'O']"
"['A', 'F', 'N', 'O']"
"['D', 'F', 'J', 'N']"
"['C', 'F', 'H', 'N']"
"['D', 'F', 'I', 'J']"
"['A', 'F', 'G', 'I']"
"['C', 'I', 'K', 'M']"
"['B', 'G', 'L', 'P']"
"['B', 'D', 'I', 'P']"
"['B', 'H', 'M', 'O']"
"['B', 'F', 'L', 'M']"
"['A', 'D', 'M', 'Q']"
"['C', 'F', 'O', 'P']"
"['B', 'C', 'I', 'Q']"
"['B', 'H', 'N', 'Q']"
"['C', 'I', 'N', 'P']"
"['D', 'F', 'N', 'O']"
"['A', 'I', 'O', 'P']"
"['B', 'G', 'H', 'O']"
"['A', 'B', 'N', 'Q']"
"['G', 'K', 'O', 'Q']"
"['I', 'L', 'O', 'Q']"
"['E', 'F', 'L', 'O']"
"['A', 'C', 'J', 'N']"
"['B', 'F', 'H', 'K']"
"['A', 'L', 'N', 'O']"
"['B', 'J', 'K', 'L']"
"['B', 'H', 'J', 'P']"
"['B', 'D', 'G', 'Q']"
"['B', 'D', 'I', 'K']"
"['D', 'K', 'N', 'O']"
"['A', 'B', 'E', 'O']"
"['C', 'I', 'N', 'Q']"
"['E', 'G', 'I', 'O']"
"['A', 'C', 'L', 'M']"
"['H', 'J', 'M', 'P']"
"['B', 'I', 'K', 'P']"
"['B', 'D', 'E', 'M']"
"['C', 'G', 'J', 'N']"
"['A', 'C', 'D', 'M']"
"['B', 'J', 'L', 'O']"
"['A', 'C', 'J', 'M']"
"['C', 'E', 'G', 'L']"
"['D', 'E', 'K', 'N']"
"['C', 'F', 'H', 'J']"
"['B', 'E', 'N', 'P']"
"['D', 'I', 'J', 'K']"
"['B', 'E', 'H', 'L']"
"['J', 'L', 'M', 'O']"
"['B', 'C', 'M', 'O']"
"['I', 'J', 'L', 'M']"
"['D', 'F', 'G', 'I']"
"['B', 'I', 'J', 'O']"
"['E', 'F', 'G', 'Q']"
"['A', 'B', 'K', 'O']"
"['B', 'C', 'E', 'L']"
"['B', 'F', 'G', 'O']"
"['E', 'H', 'O', 'P']"
"['D', 'G', 'M', 'P']"
"['C', 'H', 'O', 'P']"
"['M', 'N', 'P', 'Q']"
"['D', 'K', 'M', 'P']"
"['B', 'F', 'G', 'Q']"
"['A', 'I', 'J', 'Q']"
"['F', 'H', 'K', 'O']"
"['E', 'L', 'N', 'Q']"
"['A', 'C', 'D', 'J']"
"['A', 'B', 'D', 'E']"
"['G', 'I', 'J', 'P']"
"['E', 'J', 'O', 'Q']"
"['A', 'C', 'M', 'N']"
"['E', 'I', 'M', 'N']"
"['H', 'M', 'O', 'P']"
"['A', 'C', 'O', 'Q']"
"['A', 'B', 'M', 'P']"
"['A', 'I', 'L', 'N']"
"['B', 'C', 'I', 'M']"
"['B', 'E', 'G', 'L']"
"['B', 'H', 'N', 'O']"
"['B', 'H', 'J', 'M']"
"['A', 'D', 'H', 'P']"
"['F', 'I', 'J', 'P']"
"['A', 'B', 'G', 'P']"
"['H', 'J', 'K', 'O']"
"['K', 'L', 'M', 'P']"
"['A', 'C', 'P', 'Q']"
"['D', 'F', 'G', 'Q']"
"['C', 'I', 'K', 'O']"
"['C', 'D', 'L', 'P']"
"['D', 'N', 'O', 'P']"
"['C', 'J', 'K', 'L']"
"['B', 'J', 'L', 'Q']"
"['C', 'E', 'H', 'N']"
"['A', 'J', 'K', 'M']"
"['F', 'I', 'M', 'O']"
"['J', 'K', 'L', 'Q']"
"['D', 'I', 'P', 'Q']"
"['B', 'E', 'N', 'Q']"
"['I', 'N', 'O', 'Q']"
"['E', 'F', 'J', 'K']"
"['C', 'D', 'I', 'Q']"
"['C', 'D', 'J', 'Q']"
"['F', 'J', 'L', 'P']"
"['B', 'E', 'K', 'P']"
"['F', 'G', 'I', 'P']"
"['C', 'G', 'I', 'M']"
"['A', 'D', 'G', 'J']"
"['D', 'J', 'K', 'O']"
"['A', 'M', 'N', 'P']"
"['A', 'B', 'K', 'P']"
"['C', 'E', 'J', 'P']"
"['A', 'C', 'D', 'L']"
"['B', 'E', 'J', 'L']"
"['E', 'F', 'J', 'M']"
"['D', 'E', 'J', 'L']"
"['G', 'H', 'J', 'O']"
"['A', 'B', 'C', 'I']"
"['A', 'B', 'F', 'O']"
"['D', 'F', 'I', 'M']"
"['I', 'K', 'P', 'Q']"
"['E', 'F', 'I', 'P']"
"['A', 'C', 'E', 'J']"
"['D', 'G', 'I', 'N']"
"['E', 'H', 'I', 'J']"
"['C', 'D', 'G', 'Q']"
"['B', 'E', 'F', 'P']"
"['G', 'H', 'O', 'Q']"
"['A', 'H', 'I', 'J']"
"['D', 'H', 'I', 'N']"
"['G', 'H', 'J', 'N']"
"['F', 'H', 'M', 'N']"
"['H', 'J', 'M', 'N']"
"['C', 'G', 'J', 'M']"
"['A', 'G', 'H', 'N']"
"['J', 'L', 'M', 'P']"
"['B', 'F', 'P', 'Q']"
"['D', 'J', 'M', 'N']"
"['D', 'G', 'N', 'P']"
"['H', 'I', 'J', 'M']"
"['C', 'H', 'I', 'L']"
"['A', 'G', 'L', 'N']"
"['A', 'C', 'N', 'O']"
"['A', 'C', 'O', 'P']"
"['B', 'E', 'H', 'M']"
"['D', 'M', 'N', 'Q']"
"['D', 'I', 'O', 'P']"
"['D', 'F', 'G', 'H']"
"['A', 'C', 'M', 'O']"
"['F', 'M', 'N', 'P']"
"['B', 'C', 'H', 'P']"
"['E', 'L', 'O', 'Q']"
"['B', 'D', 'E', 'J']"
"['C', 'G', 'K', 'N']"
"['A', 'C', 'D', 'E']"
"['C', 'F', 'K', 'O']"
"['C', 'L', 'M', 'P']"
"['A', 'F', 'I', 'N']"
"['G', 'M', 'O', 'P']"
"['A', 'B', 'J', 'O']"
"['E', 'J', 'L', 'M']"
"['A', 'F', 'K', 'N']"
"['N', 'O', 'P', 'Q']"
"['B', 'F', 'K', 'L']"
"['A', 'G', 'K', 'P']"
"['A', 'C', 'K', 'M']"
"['A', 'C', 'I', 'J']"
"['A', 'F', 'K', 'M']"
"['C', 'E', 'G', 'P']"
"['D', 'F', 'K', 'N']"
"['I', 'J', 'L', 'P']"
"['E', 'F', 'G', 'K']"
"['A', 'C', 'K', 'Q']"
"['B', 'C', 'F', 'N']"
"['C', 'H', 'K', 'Q']"
"['A', 'B', 'L', 'M']"
"['E', 'F', 'I', 'M']"
"['F', 'H', 'I', 'L']"
"['A', 'B', 'F', 'Q']"
"['B', 'G', 'H', 'N']"
"['G', 'H', 'J', 'M']"
"['A', 'C', 'D', 'N']"
"['B', 'E', 'H', 'I']"
"['A', 'F', 'K', 'L']"
"['E', 'I', 'L', 'O']"
"['D', 'L', 'O', 'P']"
"['B', 'J', 'K', 'P']"
"['A', 'H', 'P', 'Q']"
"['A', 'C', 'E', 'G']"
"['A', 'D', 'F', 'Q']"
"['D', 'I', 'M', 'Q']"
"['A', 'B', 'L', 'P']"
"['A', 'H', 'M', 'N']"
"['B', 'C', 'M', 'N']"
"['C', 'F', 'L', 'Q']"
"['C', 'F', 'J', 'P']"
"['H', 'I', 'M', 'N']"
"['F', 'L', 'N', 'Q']"
"['D', 'H', 'J', 'L']"
"['C', 'J', 'M', 'N']"
"['H', 'I', 'K', 'L']"
"['B', 'D', 'F', 'J']"
"['C', 'D', 'H', 'N']"
"['A', 'B', 'C', 'N']"
"['B', 'I', 'J', 'K']"
"['I', 'L', 'M', 'O']"
"['A', 'F', 'M', 'Q']"
"['B', 'E', 'G', 'P']"
"['A', 'L', 'M', 'Q']"
"['C', 'E', 'N', 'Q']"
"['A', 'B', 'I', 'K']"
"['C', 'J', 'O', 'P']"
"['A', 'J', 'L', 'O']"
"['C', 'G', 'I', 'Q']"
"['D', 'M', 'N', 'O']"
"['F', 'I', 'N', 'P']"
"['A', 'I', 'P', 'Q']"
"['A', 'I', 'K', 'L']"
"['E', 'K', 'O', 'P']"
"['E', 'H', 'I', 'P']"
"['A', 'C', 'E', 'M']"
"['A', 'C', 'H', 'Q']"
"['F', 'L', 'O', 'P']"
"['G', 'N', 'O', 'P']"
"['K', 'L', 'O', 'P']"
"['E', 'F', 'G', 'P']"
"['A', 'C', 'E', 'F']"
"['A', 'G', 'I', 'P']"
"['A', 'D', 'J', 'Q']"
"['D', 'E', 'G', 'N']"
"['E', 'F', 'J', 'Q']"
"['B', 'C', 'H', 'M']"
"['D', 'E', 'L', 'M']"
"['B', 'D', 'F', 'Q']"
"['C', 'H', 'J', 'L']"
"['C', 'D', 'F', 'I']"
"['A', 'K', 'M', 'O']"
"['A', 'G', 'J', 'M']"
"['A', 'C', 'E', 'P']"
"['B', 'D', 'H', 'Q']"
"['K', 'L', 'M', 'O']"
"['D', 'H', 'J', 'N']"
"['B', 'F', 'H', 'O']"
"['D', 'I', 'J', 'Q']"
"['E', 'G', 'L', 'O']"
"['D', 'E', 'J', 'O']"
"['B', 'H', 'K', 'L']"
"['G', 'I', 'L', 'O']"
"['B', 'H', 'L', 'N']"
"['A', 'I', 'K', 'P']"
"['A', 'B', 'N', 'P']"
"['F', 'J', 'L', 'Q']"
"['E', 'I', 'M', 'P']"
"['B', 'I', 'P', 'Q']"
"['C', 'F', 'J', 'Q']"
"['C', 'I', 'M', 'O']"
"['A', 'C', 'F', 'P']"
"['B', 'D', 'E', 'P']"
"['D', 'G', 'I', 'M']"
"['E', 'F', 'L', 'M']"
"['B', 'N', 'O', 'P']"
"['E', 'K', 'L', 'Q']"
"['C', 'D', 'I', 'O']"
"['A', 'B', 'F', 'K']"
"['E', 'F', 'I', 'O']"
"['E', 'L', 'N', 'P']"
"['B', 'G', 'H', 'L']"
"['F', 'G', 'H', 'O']"
"['F', 'N', 'P', 'Q']"
"['C', 'F', 'H', 'M']"
"['D', 'E', 'I', 'N']"
"['C', 'E', 'K', 'N']"
"['B', 'C', 'F', 'Q']"
"['F', 'M', 'O', 'Q']"
"['B', 'G', 'K', 'L']"
"['E', 'H', 'I', 'Q']"
"['E', 'G', 'I', 'K']"
"['D', 'H', 'I', 'O']"
"['A', 'C', 'J', 'O']"
"['E', 'H', 'I', 'K']"
"['E', 'G', 'J', 'M']"
"['E', 'G', 'I', 'Q']"
"['A', 'E', 'J', 'O']"
"['E', 'J', 'O', 'P']"
"['F', 'G', 'K', 'Q']"
"['A', 'K', 'O', 'Q']"
"['B', 'C', 'G', 'P']"
"['A', 'K', 'P', 'Q']"
"['E', 'J', 'M', 'O']"
"['B', 'C', 'I', 'N']"
"['D', 'E', 'F', 'O']"
"['A', 'G', 'O', 'Q']"
"['C', 'J', 'K', 'M']"
"['E', 'I', 'K', 'L']"
"['A', 'F', 'G', 'O']"
"['A', 'F', 'L', 'Q']"
"['C', 'K', 'M', 'P']"
"['E', 'I', 'L', 'P']"
"['D', 'F', 'G', 'O']"
"['D', 'E', 'I', 'O']"
"['A', 'D', 'J', 'P']"
"['B', 'M', 'O', 'P']"
"['A', 'C', 'E', 'I']"
"['A', 'B', 'D', 'G']"
"['G', 'I', 'O', 'P']"
"['E', 'H', 'M', 'N']"
"['D', 'G', 'L', 'O']"
"['C', 'D', 'K', 'N']"
"['G', 'J', 'L', 'P']"
"['H', 'K', 'N', 'O']"
"['H', 'K', 'L', 'O']"
"['F', 'G', 'J', 'Q']"
"['I', 'N', 'O', 'P']"
"['A', 'I', 'M', 'O']"
"['C', 'F', 'G', 'K']"
"['F', 'H', 'N', 'P']"
"['C', 'F', 'K', 'N']"
"['B', 'G', 'H', 'I']"
"['G', 'J', 'O', 'Q']"
"['A', 'E', 'I', 'J']"
"['B', 'E', 'I', 'M']"
"['M', 'N', 'O', 'P']"
"['B', 'D', 'I', 'L']"
"['A', 'E', 'G', 'Q']"
"['C', 'F', 'H', 'L']"
"['E', 'J', 'K', 'P']"
"['G', 'I', 'M', 'N']"
"['C', 'G', 'O', 'Q']"
"['A', 'E', 'J', 'Q']"
"['A', 'L', 'N', 'Q']"
"['F', 'M', 'P', 'Q']"
"['B', 'E', 'F', 'N']"
"['H', 'J', 'N', 'P']"
"['D', 'F', 'I', 'K']"
"['E', 'F', 'G', 'H']"
"['B', 'F', 'I', 'Q']"
"['B', 'C', 'F', 'G']"
"['B', 'I', 'J', 'L']"
"['A', 'C', 'H', 'J']"
"['A', 'B', 'D', 'L']"
"['H', 'M', 'N', 'O']"
"['I', 'K', 'N', 'O']"
"['G', 'L', 'P', 'Q']"
"['A', 'C', 'I', 'K']"
"['B', 'F', 'I', 'O']"
"['C', 'G', 'M', 'Q']"
"['B', 'F', 'J', 'K']"
"['E', 'G', 'L', 'P']"
"['B', 'G', 'J', 'L']"
"['B', 'E', 'F', 'I']"
"['B', 'F', 'N', 'Q']"
"['A', 'E', 'G', 'J']"
"['B', 'D', 'K', 'P']"
"['A', 'I', 'N', 'P']"
"['E', 'I', 'L', 'Q']"
"['D', 'I', 'L', 'O']"
"['B', 'G', 'L', 'M']"
"['C', 'J', 'K', 'N']"
"['I', 'L', 'M', 'Q']"
"['A', 'N', 'O', 'P']"
"['B', 'J', 'N', 'Q']"
"['E', 'J', 'N', 'P']"
"['B', 'D', 'H', 'M']"
"['C', 'F', 'G', 'O']"
"['E', 'G', 'I', 'M']"
"['A', 'E', 'I', 'N']"
"['A', 'D', 'F', 'J']"
"['G', 'L', 'O', 'Q']"
"['F', 'I', 'N', 'Q']"
"['A', 'I', 'J', 'K']"
"['C', 'I', 'K', 'L']"
"['A', 'B', 'H', 'M']"
"['G', 'J', 'M', 'N']"
"['A', 'E', 'F', 'O']"
"['I', 'L', 'P', 'Q']"
"['F', 'G', 'P', 'Q']"
"['G', 'H', 'L', 'Q']"
"['E', 'F', 'H', 'N']"
"['I', 'J', 'M', 'N']"
"['A', 'D', 'I', 'N']"
"['C', 'E', 'I', 'N']"
"['A', 'D', 'J', 'M']"
"['A', 'F', 'K', 'O']"
"['D', 'I', 'J', 'O']"
"['D', 'E', 'F', 'H']"
"['D', 'G', 'H', 'J']"
"['B', 'M', 'N', 'Q']"
"['B', 'G', 'P', 'Q']"
"['B', 'M', 'N', 'P']"
"['B', 'D', 'F', 'M']"
"['C', 'H', 'N', 'O']"
"['D', 'I', 'J', 'P']"
"['D', 'H', 'N', 'O']"
"['G', 'H', 'L', 'M']"
"['C', 'F', 'I', 'P']"
"['B', 'H', 'O', 'Q']"
"['B', 'E', 'F', 'H']"
"['D', 'G', 'I', 'J']"
"['A', 'J', 'O', 'Q']"
"['B', 'N', 'P', 'Q']"
"['C', 'J', 'O', 'Q']"
"['G', 'J', 'M', 'O']"
"['C', 'D', 'N', 'P']"
"['E', 'F', 'J', 'L']"
"['A', 'B', 'D', 'H']"
"['A', 'D', 'F', 'O']"
"['A', 'B', 'C', 'F']"
"['B', 'H', 'L', 'O']"
"['C', 'F', 'G', 'N']"
"['A', 'D', 'M', 'P']"
"['A', 'B', 'J', 'M']"
"['E', 'G', 'M', 'N']"
"['D', 'G', 'M', 'N']"
"['D', 'H', 'N', 'Q']"
"['F', 'G', 'N', 'P']"
"['A', 'C', 'F', 'M']"
"['J', 'K', 'O', 'P']"
"['F', 'K', 'N', 'Q']"
"['C', 'G', 'H', 'I']"
"['B', 'G', 'H', 'J']"
"['D', 'E', 'H', 'N']"
"['F', 'J', 'N', 'O']"
"['C', 'D', 'F', 'M']"
"['B', 'F', 'I', 'L']"
"['A', 'D', 'H', 'O']"
"['L', 'M', 'N', 'O']"
"['F', 'I', 'O', 'P']"
"['F', 'J', 'L', 'N']"
"['B', 'G', 'K', 'O']"
"['B', 'K', 'O', 'Q']"
"['A', 'E', 'J', 'M']"
"['B', 'H', 'P', 'Q']"
"['A', 'H', 'K', 'L']"
"['A', 'I', 'M', 'Q']"
"['B', 'D', 'F', 'L']"
"['B', 'E', 'G', 'H']"
"['H', 'K', 'M', 'N']"
"['C', 'D', 'K', 'Q']"
"['A', 'F', 'M', 'N']"
"['A', 'D', 'N', 'Q']"
"['F', 'K', 'O', 'Q']"
"['A', 'G', 'N', 'P']"
"['B', 'E', 'J', 'O']"
"['C', 'L', 'M', 'Q']"
"['F', 'H', 'J', 'M']"
"['D', 'J', 'L', 'P']"
"['A', 'H', 'J', 'N']"
"['A', 'G', 'H', 'J']"
"['C', 'I', 'O', 'Q']"
"['B', 'C', 'F', 'P']"
"['E', 'J', 'M', 'Q']"
"['E', 'G', 'H', 'O']"
"['A', 'G', 'I', 'N']"
"['C', 'E', 'I', 'O']"
"['A', 'I', 'M', 'N']"
"['A', 'H', 'L', 'O']"
"['F', 'G', 'I', 'J']"
"['B', 'C', 'E', 'K']"
"['E', 'L', 'N', 'O']"
"['A', 'K', 'N', 'P']"
"['L', 'M', 'N', 'Q']"
"['E', 'I', 'N', 'O']"
"['A', 'H', 'J', 'M']"
"['C', 'H', 'I', 'J']"
"['C', 'H', 'I', 'P']"
"['C', 'F', 'J', 'K']"
"['B', 'F', 'I', 'J']"
"['A', 'E', 'K', 'O']"
"['C', 'L', 'M', 'N']"
"['A', 'B', 'D', 'J']"
"['I', 'M', 'O', 'Q']"
"['A', 'F', 'H', 'Q']"
"['A', 'C', 'H', 'I']"
"['C', 'F', 'G', 'H']"
"['E', 'G', 'J', 'P']"
"['B', 'F', 'K', 'M']"
"['A', 'B', 'F', 'G']"
"['D', 'E', 'F', 'Q']"
"['B', 'D', 'M', 'P']"
"['J', 'M', 'O', 'P']"
"['D', 'E', 'H', 'J']"
"['B', 'C', 'E', 'I']"
"['E', 'I', 'K', 'N']"
"['E', 'H', 'J', 'P']"
"['E', 'F', 'J', 'O']"
"['B', 'H', 'I', 'P']"
"['A', 'G', 'H', 'L']"
"['E', 'F', 'I', 'Q']"
"['D', 'F', 'I', 'P']"
"['A', 'H', 'N', 'P']"
"['A', 'J', 'K', 'L']"
"['B', 'I', 'N', 'O']"
"['E', 'G', 'J', 'N']"
"['A', 'C', 'D', 'P']"
"['A', 'H', 'I', 'O']"
"['F', 'G', 'K', 'N']"
"['G', 'L', 'M', 'Q']"
"['F', 'G', 'H', 'P']"
"['C', 'E', 'F', 'Q']"
"['B', 'D', 'J', 'M']"
"['H', 'L', 'O', 'Q']"
"['E', 'H', 'I', 'N']"
"['B', 'F', 'K', 'Q']"
"['C', 'E', 'F', 'P']"
"['E', 'H', 'L', 'M']"
"['A', 'C', 'I', 'P']"
"['C', 'F', 'G', 'J']"
"['F', 'H', 'O', 'Q']"
"['H', 'K', 'M', 'P']"
"['A', 'I', 'L', 'P']"
"['B', 'D', 'I', 'O']"
"['B', 'I', 'N', 'Q']"
"['B', 'C', 'H', 'K']"
"['D', 'J', 'O', 'Q']"
"['D', 'G', 'J', 'L']"
"['E', 'I', 'L', 'M']"
"['B', 'F', 'G', 'K']"
"['B', 'E', 'H', 'Q']"
"['F', 'H', 'I', 'M']"
"['A', 'D', 'G', 'Q']"
"['A', 'F', 'L', 'N']"
"['C', 'M', 'N', 'Q']"
"['E', 'G', 'M', 'P']"
"['F', 'K', 'L', 'O']"
"['C', 'H', 'J', 'P']"
"['G', 'I', 'L', 'N']"
"['I', 'K', 'L', 'N']"
