items
"['H', 'M', 'P']"
"['F', 'I', 'P']"
"['I', 'L', 'N']"
"['B', 'D', 'G']"
"['H', 'M', 'N']"
"['C', 'K', 'Q']"
"['F', 'L', 'M']"
"['B', 'F', 'O']"
"['E', 'F', 'P']"
"['L', 'P', 'Q']"
"['E', 'J', 'L']"
"['C', 'F', 'G']"
"['B', 'E', 'F']"
"['F', 'K', 'M']"
"['C', 'F', 'P']"
"['A', 'M', 'Q']"
"['D', 'L', 'O']"
"['B', 'D', 'L']"
"['J', 'K', 'M']"
"['A', 'M', 'O']"
"['F', 'G', 'N']"
"['O', 'P', 'Q']"
"['B', 'G', 'L']"
"['L', 'O', 'P']"
"['G', 'M', 'Q']"
"['G', 'O', 'Q']"
"['H', 'M', 'O']"
"['I', 'J', 'N']"
"['J', 'O', 'P']"
"['E', 'G', 'L']"
"['M', 'N', 'Q']"
"['D', 'J', 'M']"
"['A', 'J', 'Q']"
"['A', 'L', 'P']"
"['A', 'J', 'O']"
"['H', 'J', 'Q']"
"['G', 'K', 'M']"
"['C', 'D', 'P']"
"['C', 'K', 'N']"
"['A', 'C', 'F']"
"['F', 'M', 'O']"
"['D', 'E', 'J']"
"['G', 'L', 'P']"
"['H', 'K', 'N']"
"['A', 'G', 'O']"
"['H', 'O', 'P']"
"['B', 'E', 'O']"
"['F', 'K', 'P']"
"['H', 'J', 'L']"
"['E', 'O', 'P']"
"['A', 'D', 'Q']"
"['B', 'C', 'I']"
"['E', 'O', 'Q']"
"['B', 'L', 'Q']"
"['E', 'H', 'O']"
"['G', 'N', 'P']"
"['D', 'P', 'Q']"
"['B', 'G', 'M']"
"['K', 'L', 'P']"
"['B', 'E', 'N']"
"['A', 'B', 'N']"
"['E', 'H', 'I']"
"['C', 'D', 'E']"
"['B', 'F', 'I']"
"['B', 'G', 'J']"
"['C', 'H', 'O']"
"['H', 'L', 'P']"
"['I', 'N', 'Q']"
"['D', 'O', 'P']"
"['C', 'M', 'O']"
"['A', 'H', 'M']"
"['I', 'O', 'P']"
"['A', 'E', 'P']"
"['D', 'F', 'J']"
"['F', 'N', 'P']"
"['E', 'M', 'Q']"
"['B', 'G', 'K']"
"['A', 'O', 'P']"
"['B', 'H', 'K']"
"['A', 'J', 'L']"
"['C', 'L', 'P']"
"['D', 'L', 'N']"
"['D', 'E', 'K']"
"['C', 'F', 'H']"
"['L', 'M', 'O']"
"['K', 'N', 'P']"
"['G', 'I', 'L']"
"['G', 'H', 'O']"
"['H', 'L', 'Q']"
"['H', 'J', 'O']"
"['A', 'B', 'E']"
"['B', 'C', 'K']"
"['A', 'D', 'K']"
"['A', 'E', 'O']"
"['J', 'N', 'Q']"
"['I', 'M', 'N']"
"['D', 'M', 'P']"
"['L', 'M', 'N']"
"['G', 'K', 'N']"
"['C', 'J', 'N']"
"['C', 'H', 'L']"
"['D', 'E', 'M']"
"['H', 'J', 'P']"
"['D', 'F', 'O']"
"['G', 'J', 'N']"
"['K', 'O', 'Q']"
"['D', 'I', 'J']"
"['A', 'L', 'Q']"
"['B', 'G', 'H']"
"['C', 'D', 'K']"
"['A', 'K', 'N']"
"['C', 'J', 'L']"
"['E', 'F', 'I']"
"['H', 'N', 'O']"
"['C', 'K', 'P']"
"['M', 'N', 'O']"
"['E', 'L', 'P']"
"['E', 'L', 'Q']"
"['G', 'H', 'P']"
"['A', 'H', 'P']"
"['D', 'G', 'P']"
"['B', 'F', 'L']"
"['K', 'M', 'Q']"
"['H', 'I', 'O']"
"['C', 'E', 'Q']"
"['A', 'N', 'P']"
"['G', 'J', 'Q']"
"['A', 'D', 'M']"
"['B', 'C', 'H']"
"['D', 'I', 'M']"
"['H', 'I', 'Q']"
"['F', 'I', 'M']"
"['H', 'I', 'N']"
"['D', 'E', 'O']"
"['B', 'C', 'Q']"
"['A', 'G', 'N']"
"['A', 'F', 'H']"
"['A', 'D', 'F']"
"['J', 'M', 'P']"
"['E', 'I', 'K']"
"['G', 'N', 'Q']"
"['A', 'F', 'L']"
"['B', 'E', 'H']"
"['A', 'G', 'K']"
"['A', 'D', 'L']"
"['H', 'L', 'N']"
"['D', 'I', 'Q']"
"['E', 'N', 'Q']"
"['A', 'H', 'Q']"
"['D', 'E', 'H']"
"['D', 'E', 'Q']"
"['H', 'I', 'L']"
"['G', 'I', 'P']"
"['D', 'J', 'K']"
"['E', 'I', 'L']"
"['F', 'I', 'N']"
"['A', 'E', 'N']"
"['B', 'D', 'M']"
"['E', 'I', 'O']"
"['A', 'B', 'P']"
"['A', 'E', 'H']"
"['B', 'C', 'P']"
"['F', 'O', 'P']"
"['A', 'L', 'N']"
"['A', 'F', 'K']"
"['D', 'F', 'K']"
"['G', 'H', 'K']"
"['J', 'N', 'O']"
"['G', 'O', 'P']"
"['H', 'K', 'Q']"
"['C', 'H', 'J']"
"['G', 'K', 'Q']"
"['D', 'G', 'K']"
"['C', 'D', 'G']"
"['G', 'I', 'N']"
"['A', 'B', 'K']"
"['A', 'B', 'G']"
"['A', 'B', 'M']"
"['G', 'P', 'Q']"
"['G', 'L', 'Q']"
"['C', 'I', 'L']"
"['C', 'M', 'Q']"
"['E', 'F', 'M']"
"['C', 'N', 'O']"
"['K', 'L', 'Q']"
"['C', 'O', 'Q']"
"['D', 'G', 'H']"
"['K', 'M', 'O']"
"['F', 'L', 'O']"
"['C', 'J', 'Q']"
"['I', 'L', 'P']"
"['A', 'C', 'G']"
"['M', 'N', 'P']"
"['H', 'K', 'O']"
"['B', 'K', 'N']"
"['I', 'J', 'Q']"
"['E', 'G', 'H']"
"['B', 'H', 'I']"
"['D', 'I', 'O']"
"['E', 'K', 'O']"
"['F', 'J', 'N']"
"['B', 'I', 'P']"
"['G', 'H', 'J']"
"['J', 'K', 'P']"
"['A', 'H', 'O']"
"['K', 'L', 'O']"
"['L', 'M', 'P']"
"['D', 'G', 'I']"
"['C', 'J', 'K']"
"['D', 'K', 'M']"
"['A', 'D', 'N']"
"['D', 'K', 'O']"
"['C', 'M', 'N']"
"['F', 'N', 'O']"
"['D', 'H', 'I']"
"['G', 'N', 'O']"
"['G', 'L', 'N']"
"['A', 'D', 'E']"
"['C', 'E', 'P']"
"['I', 'P', 'Q']"
"['D', 'L', 'Q']"
"['E', 'P', 'Q']"
"['E', 'I', 'N']"
"['G', 'I', 'O']"
"['A', 'F', 'M']"
"['G', 'K', 'P']"
"['L', 'N', 'Q']"
"['F', 'G', 'H']"
"['F', 'J', 'Q']"
"['A', 'H', 'L']"
"['A', 'E', 'L']"
"['J', 'O', 'Q']"
"['G', 'J', 'P']"
"['D', 'J', 'L']"
"['B', 'I', 'Q']"
"['F', 'O', 'Q']"
"['J', 'P', 'Q']"
"['C', 'H', 'I']"
"['A', 'E', 'J']"
"['A', 'C', 'H']"
"['B', 'C', 'M']"
"['C', 'G', 'O']"
"['A', 'E', 'I']"
"['C', 'F', 'N']"
"['C', 'H', 'P']"
"['A', 'O', 'Q']"
"['D', 'J', 'N']"
"['F', 'G', 'K']"
"['A', 'B', 'F']"
"['B', 'G', 'P']"
"['I', 'K', 'O']"
"['E', 'G', 'P']"
"['H', 'N', 'P']"
"['G', 'I', 'M']"
"['C', 'L', 'N']"
"['B', 'M', 'O']"
"['F', 'G', 'I']"
"['H', 'K', 'M']"
"['B', 'F', 'P']"
"['C', 'E', 'F']"
"['A', 'F', 'G']"
"['A', 'I', 'N']"
"['E', 'F', 'O']"
"['E', 'F', 'L']"
"['C', 'F', 'I']"
"['B', 'D', 'Q']"
"['A', 'K', 'O']"
"['B', 'I', 'K']"
"['B', 'G', 'Q']"
"['C', 'K', 'O']"
"['M', 'P', 'Q']"
"['F', 'G', 'M']"
"['L', 'N', 'O']"
"['A', 'H', 'N']"
"['C', 'O', 'P']"
"['E', 'H', 'J']"
"['A', 'C', 'D']"
"['B', 'F', 'Q']"
"['A', 'C', 'J']"
"['A', 'B', 'D']"
"['B', 'I', 'M']"
"['E', 'K', 'M']"
"['D', 'J', 'O']"
"['K', 'M', 'N']"
"['F', 'N', 'Q']"
"['I', 'J', 'K']"
"['A', 'G', 'I']"
"['C', 'G', 'J']"
"['E', 'I', 'Q']"
"['G', 'M', 'P']"
"['E', 'F', 'J']"
"['E', 'I', 'J']"
"['A', 'F', 'J']"
"['D', 'H', 'L']"
"['C', 'G', 'H']"
"['C', 'E', 'K']"
"['C', 'F', 'J']"
"['A', 'H', 'J']"
"['E', 'I', 'M']"
"['K', 'L', 'M']"
"['B', 'J', 'O']"
"['D', 'F', 'I']"
"['A', 'B', 'C']"
"['C', 'I', 'N']"
"['B', 'E', 'K']"
"['L', 'M', 'Q']"
"['B', 'C', 'E']"
"['J', 'M', 'N']"
"['G', 'H', 'I']"
"['B', 'F', 'J']"
"['L', 'N', 'P']"
"['A', 'G', 'P']"
"['B', 'J', 'L']"
"['H', 'J', 'K']"
"['B', 'C', 'L']"
"['B', 'F', 'G']"
"['B', 'D', 'I']"
"['B', 'F', 'N']"
"['E', 'J', 'O']"
"['D', 'M', 'N']"
"['C', 'D', 'O']"
"['B', 'J', 'K']"
"['C', 'I', 'O']"
"['J', 'L', 'P']"
"['E', 'J', 'Q']"
"['A', 'H', 'K']"
"['E', 'I', 'P']"
"['A', 'C', 'K']"
"['D', 'K', 'L']"
"['M', 'O', 'Q']"
"['I', 'L', 'Q']"
"['I', 'J', 'O']"
"['E', 'L', 'N']"
"['A', 'C', 'Q']"
"['F', 'J', 'M']"
"['A', 'K', 'P']"
"['B', 'J', 'Q']"
"['A', 'J', 'K']"
"['C', 'L', 'Q']"
"['B', 'F', 'H']"
"['E', 'N', 'O']"
"['C', 'H', 'Q']"
"['H', 'M', 'Q']"
"['B', 'K', 'L']"
"['E', 'L', 'M']"
"['A', 'K', 'Q']"
"['A', 'C', 'P']"
"['A', 'G', 'J']"
"['F', 'J', 'O']"
"['D', 'J', 'P']"
"['A', 'L', 'M']"
"['C', 'I', 'K']"
"['C', 'E', 'H']"
"['F', 'K', 'Q']"
"['J', 'N', 'P']"
"['J', 'K', 'O']"
"['E', 'G', 'Q']"
"['D', 'K', 'N']"
"['C', 'N', 'P']"
"['E', 'G', 'M']"
"['E', 'F', 'G']"
"['A', 'I', 'Q']"
"['C', 'N', 'Q']"
"['B', 'O', 'Q']"
"['B', 'H', 'P']"
"['F', 'M', 'P']"
"['E', 'K', 'Q']"
"['C', 'D', 'J']"
"['D', 'H', 'N']"
"['D', 'F', 'P']"
"['A', 'C', 'L']"
"['C', 'I', 'M']"
"['I', 'K', 'Q']"
"['K', 'M', 'P']"
"['E', 'H', 'Q']"
"['D', 'N', 'O']"
"['A', 'B', 'O']"
"['C', 'D', 'Q']"
"['B', 'M', 'P']"
"['C', 'G', 'I']"
"['A', 'J', 'N']"
"['C', 'K', 'M']"
"['F', 'K', 'O']"
"['A', 'F', 'N']"
"['A', 'N', 'O']"
"['B', 'E', 'J']"
"['A', 'I', 'M']"
"['D', 'E', 'N']"
"['D', 'I', 'N']"
"['B', 'F', 'K']"
"['I', 'M', 'P']"
"['A', 'P', 'Q']"
"['C', 'F', 'M']"
"['K', 'O', 'P']"
"['C', 'G', 'K']"
"['A', 'J', 'P']"
"['C', 'G', 'N']"
"['C', 'J', 'M']"
"['N', 'P', 'Q']"
"['H', 'K', 'P']"
"['F', 'H', 'N']"
"['E', 'J', 'K']"
"['A', 'E', 'K']"
"['I', 'J', 'L']"
"['C', 'L', 'O']"
"['D', 'F', 'N']"
"['I', 'K', 'L']"
"['B', 'L', 'M']"
"['F', 'M', 'N']"
"['D', 'J', 'Q']"
"['E', 'F', 'N']"
"['C', 'M', 'P']"
"['B', 'I', 'L']"
"['G', 'J', 'O']"
"['F', 'G', 'O']"
"['G', 'M', 'O']"
"['D', 'F', 'Q']"
"['F', 'L', 'P']"
"['J', 'L', 'N']"
"['C', 'E', 'I']"
"['A', 'C', 'E']"
"['A', 'I', 'O']"
"['H', 'L', 'O']"
"['A', 'G', 'L']"
"['D', 'G', 'O']"
"['C', 'E', 'J']"
"['C', 'E', 'O']"
"['H', 'L', 'M']"
"['C', 'D', 'M']"
"['B', 'K', 'P']"
"['A', 'N', 'Q']"
"['L', 'O', 'Q']"
"['D', 'E', 'P']"
"['N', 'O', 'Q']"
"['B', 'H', 'J']"
"['A', 'I', 'L']"
"['E', 'H', 'N']"
"['A', 'F', 'O']"
"['I', 'K', 'N']"
"['G', 'I', 'K']"
"['B', 'J', 'N']"
"['D', 'M', 'Q']"
"['J', 'M', 'O']"
"['D', 'F', 'H']"
"['B', 'J', 'M']"
"['A', 'B', 'J']"
"['B', 'N', 'Q']"
"['G', 'J', 'K']"
"['F', 'H', 'L']"
"['D', 'E', 'F']"
"['C', 'F', 'K']"
"['B', 'K', 'M']"
"['A', 'G', 'M']"
"['H', 'I', 'P']"
"['E', 'L', 'O']"
"['A', 'B', 'L']"
"['D', 'K', 'P']"
"['D', 'N', 'Q']"
"['A', 'B', 'I']"
"['E', 'M', 'N']"
"['J', 'K', 'L']"
"['A', 'C', 'N']"
"['N', 'O', 'P']"
"['F', 'H', 'I']"
"['B', 'D', 'O']"
"['D', 'G', 'M']"
"['G', 'H', 'N']"
"['C', 'E', 'M']"
"['F', 'H', 'K']"
"['F', 'L', 'Q']"
"['I', 'K', 'M']"
"['B', 'H', 'M']"
"['D', 'G', 'J']"
"['E', 'G', 'O']"
"['B', 'E', 'L']"
"['D', 'E', 'G']"
"['C', 'I', 'J']"
"['A', 'F', 'P']"
"['F', 'J', 'K']"
"['B', 'H', 'Q']"
"['C', 'E', 'G']"
"['B', 'C', 'O']"
"['C', 'G', 'P']"
"['H', 'J', 'N']"
"['G', 'K', 'O']"
"['G', 'J', 'M']"
"['B', 'L', 'O']"
"['B', 'H', 'L']"
"['C', 'J', 'O']"
"['A', 'E', 'Q']"
"['F', 'P', 'Q']"
"['D', 'G', 'Q']"
"['D', 'M', 'O']"
"['A', 'H', 'I']"
"['F', 'H', 'Q']"
"['E', 'M', 'O']"
"['A', 'C', 'M']"
"['I', 'N', 'O']"
"['B', 'L', 'N']"
"['D', 'K', 'Q']"
"['D', 'F', 'L']"
"['F', 'J', 'P']"
"['E', 'F', 'Q']"
"['D', 'I', 'K']"
"['G', 'L', 'M']"
"['A', 'M', 'P']"
"['B', 'C', 'D']"
"['G', 'H', 'L']"
"['E', 'J', 'M']"
"['A', 'D', 'H']"
"['A', 'B', 'H']"
"['F', 'J', 'L']"
"['B', 'J', 'P']"
"['D', 'G', 'N']"
"['B', 'E', 'Q']"
"['I', 'K', 'P']"
"['I', 'M', 'Q']"
"['B', 'D', 'J']"
"['D', 'G', 'L']"
"['B', 'N', 'P']"
"['B', 'G', 'I']"
"['C', 'E', 'N']"
"['B', 'C', 'J']"
"['D', 'F', 'G']"
"['F', 'K', 'L']"
"['B', 'G', 'N']"
"['B', 'E', 'I']"
"['B', 'M', 'Q']"
"['E', 'J', 'N']"
"['B', 'D', 'H']"
"['E', 'H', 'L']"
"['J', 'L', 'O']"
"['I', 'O', 'Q']"
"['I', 'J', 'P']"
"['F', 'H', 'P']"
"['E', 'N', 'P']"
"['I', 'N', 'P']"
"['C', 'G', 'M']"
"['C', 'H', 'K']"
"['F', 'I', 'Q']"
"['E', 'H', 'P']"
"['C', 'J', 'P']"
"['B', 'K', 'O']"
"['D', 'H', 'P']"
"['A', 'E', 'M']"
"['E', 'K', 'P']"
"['G', 'K', 'L']"
"['G', 'I', 'Q']"
"['G', 'M', 'N']"
"['A', 'I', 'P']"
"['K', 'P', 'Q']"
"['B', 'I', 'O']"
"['B', 'I', 'J']"
"['E', 'G', 'K']"
"['B', 'M', 'N']"
"['A', 'F', 'I']"
"['C', 'D', 'N']"
"['B', 'L', 'P']"
"['C', 'G', 'L']"
"['G', 'J', 'L']"
"['B', 'E', 'P']"
"['B', 'C', 'G']"
"['E', 'F', 'K']"
"['A', 'K', 'M']"
"['D', 'H', 'K']"
"['E', 'F', 'H']"
"['B', 'D', 'N']"
"['A', 'D', 'I']"
"['F', 'L', 'N']"
"['H', 'N', 'Q']"
"['B', 'G', 'O']"
"['C', 'H', 'N']"
"['B', 'C', 'F']"
"['A', 'B', 'Q']"
"['A', 'I', 'J']"
"['A', 'F', 'Q']"
"['D', 'I', 'L']"
"['F', 'H', 'M']"
"['H', 'I', 'J']"
"['M', 'O', 'P']"
"['H', 'I', 'K']"
"['D', 'L', 'P']"
"['E', 'G', 'N']"
"['J', 'L', 'Q']"
"['B', 'P', 'Q']"
"['I', 'L', 'M']"
"['G', 'H', 'Q']"
"['C', 'K', 'L']"
"['C', 'L', 'M']"
"['G', 'L', 'O']"
"['A', 'I', 'K']"
"['D', 'L', 'M']"
"['C', 'I', 'P']"
"['B', 'H', 'O']"
"['F', 'I', 'J']"
"['H', 'I', 'M']"
"['H', 'K', 'L']"
