items
"['C', 'E', 'H', 'I', 'K']"
"['A', 'E', 'H', 'M', 'P']"
"['D', 'E', 'I', 'N', 'P']"
"['C', 'H', 'J', 'M', 'Q']"
"['B', 'C', 'D', 'P', 'Q']"
"['A', 'I', 'M', 'N', 'O']"
"['H', 'J', 'N', 'O', 'Q']"
"['F', 'G', 'H', 'L', 'M']"
"['E', 'F', 'K', 'P', 'Q']"
"['D', 'F', 'L', 'N', 'P']"
"['B', 'C', 'G', 'N', 'O']"
"['C', 'F', 'J', 'N', 'P']"
"['H', 'J', 'L', 'M', 'N']"
"['G', 'L', 'M', 'N', 'O']"
"['B', 'D', 'M', 'N', 'Q']"
"['J', 'K', 'N', 'P', 'Q']"
"['I', 'K', 'M', 'N', 'O']"
"['A', 'C', 'G', 'N', 'O']"
"['B', 'I', 'L', 'O', 'P']"
"['B', 'D', 'H', 'J', 'Q']"
"['B', 'H', 'J', 'L', 'Q']"
"['A', 'G', 'L', 'M', 'O']"
"['D', 'H', 'K', 'L', 'O']"
"['A', 'E', 'K', 'M', 'Q']"
"['E', 'F', 'H', 'J', 'Q']"
"['C', 'G', 'I', 'N', 'O']"
"['C', 'H', 'I', 'M', 'Q']"
"['D', 'F', 'H', 'J', 'P']"
"['C', 'D', 'E', 'G', 'O']"
"['C', 'E', 'H', 'M', 'Q']"
"['B', 'J', 'K', 'L', 'Q']"
"['F', 'I', 'K', 'M', 'O']"
"['A', 'D', 'E', 'K', 'P']"
"['E', 'L', 'M', 'O', 'Q']"
"['A', 'F', 'K', 'L', 'M']"
"['A', 'C', 'E', 'G', 'Q']"
"['D', 'F', 'H', 'J', 'N']"
"['H', 'I', 'N', 'O', 'Q']"
"['B', 'I', 'N', 'P', 'Q']"
"['D', 'J', 'L', 'M', 'Q']"
"['C', 'D', 'H', 'L', 'O']"
"['A', 'C', 'D', 'K', 'O']"
"['D', 'H', 'I', 'M', 'O']"
"['B', 'E', 'L', 'M', 'P']"
"['C', 'G', 'J', 'M', 'O']"
"['D', 'H', 'L', 'M', 'P']"
"['F', 'G', 'N', 'P', 'Q']"
"['A', 'D', 'G', 'M', 'P']"
"['D', 'G', 'H', 'I', 'Q']"
"['A', 'B', 'F', 'I', 'L']"
"['B', 'F', 'G', 'I', 'Q']"
"['A', 'K', 'L', 'M', 'N']"
"['C', 'G', 'L', 'M', 'P']"
"['A', 'B', 'F', 'K', 'P']"
"['A', 'F', 'G', 'H', 'L']"
"['A', 'B', 'C', 'J', 'P']"
"['D', 'I', 'L', 'M', 'Q']"
"['A', 'D', 'K', 'L', 'O']"
"['C', 'H', 'L', 'P', 'Q']"
"['E', 'F', 'G', 'H', 'K']"
"['B', 'D', 'H', 'M', 'O']"
"['E', 'H', 'L', 'O', 'P']"
"['A', 'E', 'F', 'J', 'Q']"
"['B', 'G', 'H', 'L', 'O']"
"['C', 'D', 'G', 'N', 'O']"
"['B', 'C', 'G', 'M', 'O']"
"['A', 'B', 'E', 'L', 'N']"
"['D', 'F', 'I', 'N', 'Q']"
"['A', 'B', 'E', 'N', 'Q']"
"['B', 'D', 'L', 'O', 'P']"
"['D', 'I', 'J', 'L', 'Q']"
"['E', 'F', 'H', 'K', 'P']"
"['G', 'J', 'M', 'N', 'Q']"
"['G', 'I', 'K', 'N', 'Q']"
"['C', 'G', 'H', 'K', 'M']"
"['C', 'G', 'H', 'N', 'O']"
"['A', 'B', 'C', 'D', 'F']"
"['C', 'I', 'O', 'P', 'Q']"
"['C', 'I', 'M', 'P', 'Q']"
"['A', 'C', 'I', 'L', 'Q']"
"['B', 'E', 'I', 'L', 'M']"
"['C', 'I', 'J', 'O', 'P']"
"['B', 'J', 'K', 'L', 'P']"
"['A', 'C', 'M', 'P', 'Q']"
"['B', 'G', 'I', 'K', 'L']"
"['B', 'C', 'G', 'I', 'N']"
"['C', 'F', 'J', 'M', 'P']"
"['A', 'E', 'F', 'J', 'L']"
"['A', 'C', 'E', 'O', 'Q']"
"['A', 'C', 'D', 'E', 'J']"
"['A', 'B', 'F', 'H', 'I']"
"['A', 'E', 'G', 'I', 'Q']"
"['H', 'K', 'L', 'N', 'O']"
"['G', 'K', 'L', 'N', 'O']"
"['B', 'C', 'H', 'K', 'L']"
"['E', 'K', 'M', 'O', 'P']"
"['D', 'G', 'I', 'J', 'O']"
"['B', 'C', 'D', 'H', 'N']"
"['A', 'B', 'J', 'L', 'P']"
"['E', 'G', 'I', 'K', 'P']"
"['A', 'E', 'H', 'I', 'P']"
"['D', 'G', 'M', 'N', 'P']"
"['A', 'H', 'K', 'N', 'Q']"
"['B', 'C', 'F', 'G', 'I']"
"['A', 'B', 'I', 'P', 'Q']"
"['C', 'G', 'I', 'L', 'O']"
"['A', 'F', 'G', 'N', 'O']"
"['B', 'D', 'E', 'L', 'P']"
"['A', 'G', 'L', 'M', 'P']"
"['C', 'D', 'E', 'G', 'J']"
"['E', 'G', 'L', 'M', 'N']"
"['A', 'B', 'I', 'O', 'P']"
"['A', 'G', 'K', 'N', 'Q']"
"['H', 'J', 'M', 'O', 'Q']"
"['H', 'I', 'L', 'M', 'P']"
"['A', 'C', 'G', 'I', 'Q']"
"['C', 'F', 'H', 'J', 'K']"
"['F', 'H', 'I', 'K', 'L']"
"['E', 'H', 'I', 'M', 'O']"
"['A', 'H', 'I', 'J', 'Q']"
"['C', 'D', 'F', 'H', 'Q']"
"['H', 'I', 'K', 'O', 'Q']"
"['A', 'G', 'I', 'K', 'L']"
"['C', 'E', 'G', 'O', 'Q']"
"['A', 'D', 'L', 'M', 'P']"
"['C', 'G', 'M', 'P', 'Q']"
"['C', 'E', 'H', 'I', 'L']"
"['C', 'D', 'E', 'K', 'Q']"
"['B', 'C', 'K', 'L', 'P']"
"['B', 'E', 'G', 'J', 'P']"
"['B', 'C', 'I', 'J', 'K']"
"['A', 'C', 'D', 'E', 'M']"
"['D', 'E', 'L', 'N', 'P']"
"['B', 'G', 'K', 'N', 'O']"
"['D', 'G', 'K', 'O', 'P']"
"['F', 'H', 'J', 'K', 'Q']"
"['A', 'E', 'G', 'J', 'N']"
"['A', 'G', 'I', 'K', 'Q']"
"['D', 'G', 'H', 'K', 'Q']"
"['A', 'H', 'K', 'L', 'P']"
"['A', 'E', 'F', 'L', 'Q']"
"['C', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'M', 'N', 'O']"
"['A', 'B', 'G', 'L', 'N']"
"['B', 'C', 'E', 'L', 'P']"
"['B', 'C', 'E', 'G', 'O']"
"['A', 'H', 'J', 'L', 'M']"
"['E', 'H', 'N', 'P', 'Q']"
"['C', 'G', 'I', 'J', 'M']"
"['D', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'K', 'Q']"
"['F', 'J', 'K', 'O', 'Q']"
"['A', 'B', 'N', 'P', 'Q']"
"['A', 'E', 'H', 'K', 'M']"
"['B', 'J', 'K', 'N', 'Q']"
"['A', 'I', 'M', 'P', 'Q']"
"['B', 'D', 'G', 'L', 'Q']"
"['H', 'L', 'M', 'P', 'Q']"
"['A', 'C', 'K', 'M', 'O']"
"['C', 'D', 'K', 'N', 'P']"
"['B', 'J', 'L', 'N', 'P']"
"['B', 'G', 'I', 'N', 'Q']"
"['F', 'G', 'H', 'M', 'O']"
"['A', 'C', 'F', 'K', 'O']"
"['B', 'G', 'I', 'J', 'P']"
"['C', 'J', 'M', 'N', 'Q']"
"['J', 'L', 'M', 'P', 'Q']"
"['B', 'C', 'H', 'P', 'Q']"
"['B', 'D', 'I', 'L', 'Q']"
"['C', 'E', 'J', 'K', 'O']"
"['G', 'H', 'J', 'P', 'Q']"
"['C', 'D', 'E', 'H', 'M']"
"['A', 'E', 'K', 'M', 'P']"
"['F', 'G', 'H', 'L', 'N']"
"['B', 'F', 'J', 'N', 'Q']"
"['G', 'I', 'J', 'N', 'P']"
"['E', 'G', 'J', 'L', 'Q']"
"['D', 'E', 'I', 'P', 'Q']"
"['A', 'D', 'E', 'G', 'L']"
"['B', 'D', 'I', 'M', 'P']"
"['A', 'B', 'C', 'J', 'N']"
"['A', 'D', 'J', 'K', 'L']"
"['C', 'E', 'F', 'G', 'P']"
"['A', 'F', 'H', 'K', 'O']"
"['A', 'B', 'H', 'K', 'P']"
"['A', 'H', 'I', 'K', 'P']"
"['A', 'C', 'L', 'N', 'P']"
"['D', 'H', 'M', 'O', 'P']"
"['B', 'J', 'K', 'L', 'M']"
"['F', 'I', 'M', 'N', 'P']"
"['B', 'F', 'G', 'I', 'N']"
"['A', 'H', 'I', 'M', 'Q']"
"['J', 'K', 'L', 'M', 'N']"
"['F', 'I', 'J', 'M', 'Q']"
"['E', 'G', 'L', 'M', 'O']"
"['A', 'E', 'F', 'I', 'L']"
"['B', 'G', 'J', 'P', 'Q']"
"['E', 'H', 'J', 'K', 'L']"
"['B', 'C', 'I', 'J', 'L']"
"['C', 'E', 'H', 'K', 'L']"
"['C', 'F', 'H', 'K', 'P']"
"['A', 'E', 'K', 'O', 'Q']"
"['B', 'E', 'H', 'J', 'K']"
"['E', 'F', 'I', 'P', 'Q']"
"['C', 'D', 'E', 'H', 'J']"
"['K', 'L', 'N', 'O', 'Q']"
"['C', 'G', 'K', 'M', 'Q']"
"['C', 'F', 'I', 'K', 'M']"
"['D', 'I', 'J', 'N', 'P']"
"['D', 'E', 'F', 'H', 'J']"
"['B', 'G', 'L', 'N', 'O']"
"['C', 'D', 'H', 'L', 'P']"
"['A', 'F', 'G', 'H', 'J']"
"['B', 'E', 'L', 'M', 'N']"
"['G', 'H', 'I', 'K', 'L']"
"['B', 'C', 'E', 'G', 'N']"
"['D', 'E', 'G', 'K', 'O']"
"['C', 'J', 'O', 'P', 'Q']"
"['C', 'G', 'L', 'N', 'O']"
"['B', 'G', 'J', 'L', 'Q']"
"['A', 'B', 'E', 'J', 'K']"
"['A', 'C', 'F', 'H', 'P']"
"['A', 'D', 'G', 'L', 'N']"
"['E', 'G', 'I', 'J', 'M']"
"['B', 'H', 'I', 'L', 'P']"
"['C', 'E', 'J', 'L', 'N']"
"['A', 'B', 'I', 'N', 'O']"
"['C', 'D', 'H', 'J', 'P']"
"['C', 'D', 'E', 'N', 'O']"
"['C', 'G', 'N', 'O', 'Q']"
"['D', 'J', 'K', 'N', 'Q']"
"['A', 'D', 'I', 'L', 'P']"
"['A', 'B', 'D', 'E', 'M']"
"['E', 'H', 'K', 'M', 'P']"
"['B', 'F', 'G', 'H', 'N']"
"['A', 'C', 'I', 'N', 'P']"
"['D', 'F', 'H', 'N', 'O']"
"['C', 'D', 'J', 'O', 'P']"
"['A', 'D', 'E', 'F', 'O']"
"['B', 'I', 'L', 'P', 'Q']"
"['B', 'D', 'I', 'O', 'P']"
"['G', 'K', 'N', 'O', 'P']"
"['C', 'D', 'G', 'J', 'L']"
"['A', 'D', 'E', 'F', 'G']"
"['A', 'C', 'I', 'L', 'P']"
"['A', 'E', 'I', 'K', 'O']"
"['D', 'F', 'H', 'I', 'Q']"
"['G', 'I', 'K', 'O', 'Q']"
"['B', 'D', 'I', 'J', 'Q']"
"['B', 'E', 'L', 'N', 'Q']"
"['E', 'F', 'I', 'K', 'O']"
"['C', 'E', 'K', 'L', 'M']"
"['E', 'F', 'O', 'P', 'Q']"
"['E', 'F', 'I', 'O', 'P']"
"['A', 'E', 'I', 'N', 'P']"
"['A', 'E', 'J', 'P', 'Q']"
"['B', 'D', 'F', 'K', 'M']"
"['A', 'F', 'G', 'L', 'M']"
"['B', 'C', 'G', 'J', 'P']"
"['F', 'G', 'N', 'O', 'Q']"
"['D', 'G', 'I', 'J', 'K']"
"['D', 'G', 'O', 'P', 'Q']"
"['C', 'F', 'N', 'O', 'Q']"
"['B', 'C', 'M', 'P', 'Q']"
"['B', 'C', 'J', 'L', 'N']"
"['B', 'D', 'G', 'L', 'P']"
"['A', 'B', 'D', 'J', 'K']"
"['A', 'B', 'J', 'M', 'P']"
"['B', 'F', 'K', 'M', 'N']"
"['G', 'H', 'I', 'K', 'Q']"
"['B', 'D', 'K', 'N', 'P']"
"['D', 'J', 'M', 'P', 'Q']"
"['B', 'E', 'F', 'M', 'P']"
"['A', 'F', 'H', 'L', 'M']"
"['B', 'C', 'K', 'M', 'P']"
"['B', 'E', 'K', 'N', 'O']"
"['A', 'G', 'I', 'N', 'P']"
"['D', 'E', 'G', 'H', 'Q']"
"['D', 'K', 'L', 'O', 'P']"
"['C', 'G', 'I', 'L', 'Q']"
"['C', 'F', 'H', 'I', 'L']"
"['A', 'J', 'K', 'L', 'M']"
"['B', 'D', 'F', 'J', 'K']"
"['A', 'B', 'O', 'P', 'Q']"
"['A', 'C', 'F', 'I', 'P']"
"['H', 'I', 'K', 'L', 'O']"
"['D', 'F', 'H', 'I', 'O']"
"['F', 'L', 'M', 'N', 'O']"
"['B', 'F', 'K', 'L', 'P']"
"['C', 'D', 'E', 'J', 'M']"
"['A', 'E', 'I', 'M', 'N']"
"['D', 'F', 'G', 'M', 'P']"
"['A', 'F', 'K', 'L', 'N']"
"['A', 'C', 'D', 'L', 'O']"
"['H', 'J', 'K', 'M', 'P']"
"['A', 'C', 'G', 'L', 'N']"
"['C', 'D', 'M', 'N', 'Q']"
"['A', 'C', 'E', 'F', 'I']"
"['C', 'L', 'N', 'O', 'Q']"
"['F', 'H', 'N', 'O', 'P']"
"['A', 'D', 'F', 'P', 'Q']"
"['H', 'K', 'M', 'N', 'Q']"
"['D', 'G', 'I', 'M', 'P']"
"['A', 'D', 'E', 'I', 'P']"
"['A', 'D', 'E', 'H', 'M']"
"['B', 'C', 'G', 'I', 'P']"
"['E', 'K', 'N', 'O', 'P']"
"['A', 'F', 'J', 'P', 'Q']"
"['A', 'D', 'E', 'J', 'P']"
"['A', 'C', 'F', 'L', 'Q']"
"['F', 'I', 'M', 'O', 'Q']"
"['A', 'B', 'I', 'L', 'P']"
"['C', 'I', 'K', 'L', 'N']"
"['A', 'E', 'J', 'M', 'Q']"
"['A', 'B', 'E', 'P', 'Q']"
"['F', 'H', 'L', 'P', 'Q']"
"['C', 'K', 'M', 'N', 'P']"
"['A', 'H', 'K', 'O', 'P']"
"['D', 'F', 'G', 'I', 'P']"
"['A', 'H', 'I', 'J', 'N']"
"['A', 'B', 'D', 'M', 'O']"
"['C', 'I', 'N', 'O', 'P']"
"['C', 'K', 'L', 'M', 'P']"
"['B', 'F', 'G', 'H', 'I']"
"['C', 'I', 'J', 'M', 'N']"
"['D', 'G', 'J', 'K', 'Q']"
"['H', 'I', 'M', 'O', 'P']"
"['C', 'H', 'K', 'L', 'O']"
"['A', 'E', 'F', 'H', 'L']"
"['G', 'I', 'J', 'N', 'Q']"
